#Ej.,Económ.,Descripción,Previsiones iniciales,Previsiones modificadas,Previsiones definitivas,Derechos reconocidos
2020.0,10000.0,CESIÓN I.R.P.F.,3669036.86,0.0,3669036.86,2481199.68
2020.0,10002.0,IRPF PTE 2009,0.0,0.0,0.0,-35175.12
2020.0,11200.0,IBI.NATURALEZA RUSTICA,1650000.0,0.0,1650000.0,1659080.12
2020.0,11300.0,IBI.NATURALEZA URBANA,57200000.0,0.0,57200000.0,57134761.83
2020.0,11400.0,IBI CARACTERISTICAS ESPECIALES,8675000.0,0.0,8675000.0,8675100.67
2020.0,11500.0,IMPTO.VEHICC.TRACC.MECANICA,10780000.0,0.0,10780000.0,10735037.9
2020.0,11600.0,IMPTO.INCREM.VALOR TERRENOS,5600000.0,0.0,5600000.0,3393876.6
2020.0,13000.0,IMPTO.ACTIV.ECONOMICAS,7235000.0,0.0,7235000.0,7250948.93
2020.0,21000.0,CESION IVA,3283301.53,0.0,3283301.53,2239726.16
2020.0,21001.0,IVA PTE 2008,0.0,0.0,0.0,-16596.64
2020.0,21002.0,IVA PTE 2009,0.0,0.0,0.0,-34261.84
2020.0,22000.0,CESION IMPTO.ESP.ALCOHOL Y BEBIDAS DERIVADAS,41975.08,0.0,41975.08,28223.92
2020.0,2200002.0,LIQ.ALCOHOL PTE 2009,0.0,0.0,0.0,-240.56
2020.0,22001.0,CESION IMPTO.ESP.CERVEZA,14733.91,0.0,14733.91,9828.16
2020.0,2200102.0,LIQ.IMPTO.SOBRE LA CERVEZA PTE 2009,0.0,0.0,0.0,-5.52
2020.0,22003.0,CESION IMPTO.ESP.LABORES TABACO,326686.48,0.0,326686.48,218546.64
2020.0,2200302.0,LIQ.IMPTO.SOBRE EL TABACO PTE 2009,0.0,0.0,0.0,-755.68
2020.0,22004.0,CESION IMPTO.ESP.HIDROCARBUROS,489007.33,0.0,489007.33,327377.92
2020.0,2200402.0,LIQ.IMPTO.SOBRE HIDROCARBUROS PTE 2009,0.0,0.0,0.0,-1373.04
2020.0,22006.0,CESION IMPTO.ESP.PRD.INTERMEDIOS,1118.24,0.0,1118.24,749.44
2020.0,2200602.0,LIQ.PRODUC.INTERMED.PTE 2009,0.0,0.0,0.0,-3.92
2020.0,29000.0,IMPTO.CONSTR.INST.Y OBRAS,1200000.0,0.0,1200000.0,1049433.61
2020.0,30200.0,TASA BASURAS,10850000.0,0.0,10850000.0,10423374.52
2020.0,32100.0,LICENCIAS URBANISTICAS,240000.0,0.0,240000.0,147882.03
2020.0,32200.0,TASA LICENCIA OCUPACION,45000.0,0.0,45000.0,44283.65
2020.0,32300.0,TASA LIC.APERTURA ESTABLECIMIENTOS,60000.0,0.0,60000.0,104515.31
2020.0,32500.0,TASA EXPEDICION DOCUMENTOS,30000.0,0.0,30000.0,21338.4
2020.0,32600.0,TASA RETIRADA VEHICULOS,0.0,0.0,0.0,206.48
2020.0,32900.0,TASA DERECHOS EXAMEN,10000.0,0.0,10000.0,5412.32
2020.0,32901.0,TASA MATRIMONIOS CIVILES,20000.0,0.0,20000.0,6922.0
2020.0,32903.0,TASA PLANETARIO,30000.0,0.0,30000.0,12935.0
2020.0,32904.0,TASA SERVICIO SEGURIDAD PÚBLICA,100000.0,0.0,100000.0,46794.98
2020.0,32905.0,TASAS MERCADOS ORDINARIOS,65000.0,0.0,65000.0,59446.8
2020.0,33100.0,TASA ENTRADA VEHICULOS (VADOS),1990000.0,0.0,1990000.0,1959775.44
2020.0,33200.0,"TASA EXPLOT.STROS.VUELO, SUELO Y SUBSUELO",3350000.0,0.0,3350000.0,1559238.23
2020.0,33500.0,TASA OVP. MESAS Y SILLAS,15000.0,0.0,15000.0,14000.69
2020.0,33900.0,TASA.OVP. MERCADOS EXTRAORDINARIOS,0.0,0.0,0.0,370965.6
2020.0,33901.0,"TASA OVP(CABINAS,CAJEROS,PUESTOS,CONTEN.Y OTRAS)",200000.0,0.0,200000.0,233862.16
2020.0,34200.0,PRECIOS PÚBLICOS ESCOLA DE MATÍ,40000.0,0.0,40000.0,43669.32
2020.0,34401.0,PRECIOS PÚBLICOS PÉRGOLA,5000.0,0.0,5000.0,751.26
2020.0,34901.0,"P.PCOS.CIUDADANIA(JUV.,CULT.,3 EDAD.TEMPS.)",40000.0,0.0,40000.0,8491.57
2020.0,35000.0,CONTRIBUCIONES ESPECIALES,0.0,0.0,0.0,0.0
2020.0,36000.0,VENTA MATERIAL DESECHO VEHICULOS,50000.0,0.0,50000.0,16242.07
2020.0,36001.0,"VENTAS.PUBLICACIONES, PLANOS, CD",2000.0,0.0,2000.0,386.55
2020.0,38001.0,"EJEC INCAUT- GARANTÍAS URB  ""JARDINES DE CASTALIA, S.A."" UE 49 Y 55 UE-R",0.0,55697.76,55697.76,55697.76
2020.0,38900.0,REINTEGRO PAGOS PTOS.CERRADOS,20000.0,0.0,20000.0,41022.66
2020.0,39100.0,MULTAS INFRACCIONES URBANISTICAS,40000.0,0.0,40000.0,8131.37
2020.0,39110.0,MULTAS INFRACCIONES FISCALES,15000.0,0.0,15000.0,36108.82
2020.0,39120.0,MULTAS CIRCULACION,900000.0,0.0,900000.0,456368.45
2020.0,39190.0,MULTAS Y SANCIONES ORDENANZAS,130000.0,0.0,130000.0,60317.99
2020.0,39192.0,MULTAS COERCITIVAS. EJEC.SUBSID.,5000.0,0.0,5000.0,724.31
2020.0,39210.0,RECARGO EJECUTIVO 5%,0.0,0.0,0.0,32240.96
2020.0,39211.0,RECARGO DE APREMIO  10% Y 20%,1323660.55,0.0,1323660.55,493536.39
2020.0,39300.0,INTERESES DEMORA,500000.0,0.0,500000.0,231391.08
2020.0,39610.0,CUOTAS DE URBANIZACIÓN.-FINALIZACIÓN OBRAS 36 UE-R,0.0,4522.11,4522.11,0.0
2020.0,39611.0,C.URB. LA GALERA,100.0,0.0,100.0,0.0
2020.0,39615.0,C.URB. 55-UE-R,0.0,669678.3,669678.3,0.0
2020.0,39616.0,C.URB.15-UE-R,0.0,762991.73,762991.73,0.0
2020.0,39702.0,DECLARACION INTERES COMUNITARIO,0.0,0.0,0.0,112325.32
2020.0,39900.0,RECURSOS EVENTUALES,50000.0,0.0,50000.0,78048.75
2020.0,39901.0,IMPREVISTOS,100000.0,0.0,100000.0,9419.0
2020.0,39902.0,REINTEGRO PARTICULARES ANUNCIOS,5000.0,0.0,5000.0,1070.48
2020.0,39903.0,COMPENSACION SERV.EXT.INCENDIOS,684040.0,0.0,684040.0,0.0
2020.0,39904.0,"RECOG.SEL.ENVASES,PAPEL, VIDRIO Y RAEE",400000.0,0.0,400000.0,293523.42
2020.0,39905.0,EJECUCIONES SUBSIDIARIAS,50000.0,0.0,50000.0,11217.23
2020.0,39906.0,DAÑOS (INDEMNIZACIONES),50000.0,0.0,50000.0,7811.38
2020.0,39907.0,COSTAS RECAUDACION EJECUTIVA,60000.0,0.0,60000.0,25607.5
2020.0,420100.0,FONDO COMPLEMENTARIO FINANCIACION,33203851.5,0.0,33203851.5,22321419.12
2020.0,4201008.0,FCF PTE 207,0.0,0.0,0.0,-132587.71
2020.0,42011.0,FONDO COMPLEMENTARIO DE FINANCIAC.2008,0.0,0.0,0.0,-58123.52
2020.0,42012.0,FONDO COMPLEMENTARIO DE FINANCIAC.2009,0.0,0.0,0.0,-239002.8
2020.0,420901.0,T.CTES.ESTADO TRANSPORTE URBANO,209136.61,0.0,209136.61,0.0
2020.0,420902.0,T.CTES ESTADO JAC,28642.5,0.0,28642.5,0.0
2020.0,420904.0,T.CTES.ESTADO PACTO VIOLENCIA GÉNERO 2019-2020,46554.71,0.0,46554.71,46554.71
2020.0,421000.0,T.CTES.ESTADO ( SEPE),178606.49,0.0,178606.49,0.0
2020.0,421900.0,T.CTES. ESTADO DEL INE,1966.3,0.0,1966.3,1981.45
2020.0,44101.0,SUBV.RECIPLASA (19/20) REC.SELECT.ORGANICA,160242.18,0.0,160242.18,0.0
2020.0,45000.0,FONDO G.V.COOPERACION MUNICIPAL,600947.0,0.0,600947.0,300473.5
2020.0,4500201.0,T.CTES.G.V.RED AGENTES IGUALDAD,96400.0,0.0,96400.0,0.0
2020.0,4500202.0,T.CTES.G.V.PROMOCION DERECHOS INFANCIA,13459.6,0.0,13459.6,0.0
2020.0,4500203.0,T.CTES.G.V.VIVIENDA COVID 19,135643.08,0.0,135643.08,0.0
2020.0,450021.0,T.CTES.G.V.DROGODEPENDENCIAS,87000.0,0.0,87000.0,0.0
2020.0,450022.0,T.CTES.G.V.COVID 19 (D.43/2020),431042.0,0.0,431042.0,431042.0
2020.0,450024.0,T.CTES.G.V. EEIIA,182650.0,0.0,182650.0,0.0
2020.0,450025.0,T.CTES.G.V.SERV.SOCIALES GRALES.,1928100.0,0.0,1928100.0,-68714.75
2020.0,450026.0,T.CTES.G.V.INTEGRAC.PUEBLO GITANO,30000.0,0.0,30000.0,0.0
2020.0,450027.0,T.CTES.G.V.AULAS TERCERA EDAD,19054.94,0.0,19054.94,0.0
2020.0,450028.0,T.CTES.G.V.FTO.OFIC.MIGRANTES (PANGEA),52000.0,0.0,52000.0,0.0
2020.0,450301.0,T.CTES.V.ESCUELA INF.LOS DUENDES,58193.9,0.0,58193.9,34916.34
2020.0,450302.0,T.CTES.G.V.PROMOCION VALENCIANO,24550.31,0.0,24550.31,0.0
2020.0,4505013.0,T.CTES.SERVEF (EMCUJU 2019/166/12),901544.03,0.0,901544.03,901544.03
2020.0,4505014.0,T.CTES.SERVEF (EMPUJU 2019/186/12),405775.54,0.0,405775.54,405775.54
2020.0,450503.0,T.CTES SERVEF (EMCORP 2019/472/12),31761.1,0.0,31761.1,18896.49
2020.0,450505.0,T.CTES.T.EMPLEO C.SOLIDARIDAD XI (FOTAE/2019/11/12),696164.4,0.0,696164.4,0.0
2020.0,450508.0,T.CTES.SERVEF.-E.T.FORMEM FASE 3 (FETF2/2019/11/12),232054.8,0.0,232054.8,0.0
