Número registro,Nombre tercero,Descripción,Fecha contable,Importe bruto,Orgánica,Programa,Económica
2016.0003917,"INGENIERIA DE GESTION INDUSTRIAL, S.L.",24/06/16. VERIFICACION PERIODICA SONOMETROS INTEGRADORES  Y VERIFICACION PERIODICA DE CALILBRADORES SONOROS,02/08/2016,"691,97 €",5,17210,21300
2016.0004586,"COPISTERIA DE CASTELLON, S.L.",20/06/16. COPIAS PLANOS EXPTE. 36233/2015 DE ACTIVIDADES.,13/09/2016,"28,01 €",5,15123,22000
2016.0013258,"COPISTERIA DE CASTELLON, S.L.",26/10/16. COPIAS PLANOS PARA ACTIVIDADES.,29/12/2016,"3,99 €",5,15121,22000
2016.0013261,"COPISTERIA DE CASTELLON, S.L.",05/10/16. COPIAS PLANOS PARA ACTIVIDADES.,29/12/2016,"11,05 €",5,15121,22000
2016.0013573,"ACUSTICA Y TELECOMUNICACIONES, S.L.",OCTUBRE 16. PRESTACION DEL SERVICIO DE TRABAJOS DE CONTROL ACUSTICO EN ZONA ZAS DE LAGASCA S/DEC 23/08/2016,20/12/2016,"8.409,50 €",5,17210,227060
2015.0006654,MARKEL INTL. INSRC. SUCURSAL ESP,DEL 15/12/15 AL 31/03/16. POLIZA SEGURO PARA ACTIVIDADES AUXILIARES EN VIVEROS Y JARDINES. 1ª OPERACIÓN CONTABLE S/BASE 6 DE LAS BASES DE EJEC. DEL PRESUPUESTO,10/02/2016,"295,33 €",4,24180,22400
2016.0000342,MARKEL INTL. INSRC. SUCURSAL ESP,"DEL 30/12/15 AL 04/03/16. SEGURO ALUMNOS CURSO ""LIMPIEZA EN ESPACIOS ABIERTOS E INSTALACIONES INDUSTRIALES""",24/02/2016,"159,13 €",4,24180,22400
2016.0000441,MARKEL INTL. INSRC. SUCURSAL ESP,"DEL 15/12/15 AL 31/03/16. SUPLEMENTO PÓLIZA ALUMNOS CURSO ""ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERIA""",23/03/2016,"90,22 €",4,24180,22400
2016.0000442,MARKEL INTL. INSRC. SUCURSAL ESP,"DEL 30/12/15 AL 04/03/16. SUPLEMENTO PÓLIZA ALUMNOS ""CURSO LIMPIEZA EN ESPACIOS ABIERTOS E INSTALACIONES INDUSTRIALES""",23/03/2016,"97,87 €",4,24180,22400
2016.0000469,PLACIDO GOMEZ SL,"SUMINISTRO MATERIAL PARA SU USO EN EL DESARROLLO DEL CURSO ""LIMPIEZA EN ESPACIOS ABIERTOS E INSTALACIONES INDUSTRIALES"".",08/03/2016,"563,75 €",4,24180,22001
2016.0000470,PLACIDO GOMEZ SL,"29/01/16. SUMINISTRO MATERIAL PARA SU USO EN EL DESARROLLO DEL CURSO ""ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERÍA"".",23/03/2016,"280,80 €",4,24180,22001
2016.0000471,PLACIDO GOMEZ SL,"SUMINISTRO MATERIAL PARA SU USO EN EL DESARROLLO DEL CURSO ""ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERÍA"".",23/03/2016,"760,00 €",4,24180,22001
2016.0000681,AUTOCARES MESEGUER SL,8/02/16. SERVICIO DISCRECIONAL DE AUTOBUS PROGRAMA FORMACIÓN PARA EL EMPLEO: ESPECIALIDAD LIMPIEZA.,04/04/2016,"77,00 €",4,24180,22799
2016.0000915,SUMINISTROS INDUSTRIALES Y RECAMBIOS SL,"25/02/16. ESTANTERIAS INDUSTRIALES DE MEDIA CARGA PARA EL CURSO ""LIMPIEZA EN ESPACIOS ABIERTOS E INSTALACIONES INDUSTRIALES"". FORMACION PROFESIONAL PARA EL EMPLEO.",07/04/2016,"2.442,99 €",4,24180,22199
2016.0000917,COOP AGRICOLA SAN ISIDRO CS,"MATERIAL PARA SU USO EN EL PROGRAMA DE FORMACIÓN PARA EL EMPLEO ""VIVEROS Y JARDINERIA"".",07/04/2016,"1.695,77 €",4,24180,22199
2016.0000918,COOP AGRICOLA SAN ISIDRO CS,MATERIAL PARA SU USO EN EL DESARROLLO DEL PROGRAMA DE FORMACIÓN PARA EL EMPLEO ESPECIALIDAD JARDINERIA.,07/04/2016,"703,41 €",4,24180,22199
2016.0000920,CASMAR 2000 S.A.,"MATERIAL PARA SU USO EN EL DESARROLLO DE LA FORMACIÓN PROFESIONAL PARA EL EMPLEO ""ESPECIALIDAD LIMPIEZA"".",07/04/2016,"2.819,57 €",4,24180,22199
2016.0001107,AUTOCARES MESEGUER SL,"12/02/16. SERVICIO DISCRECIONAL DE AUTOBUS A VALENCIA CON MOTIVO DEL ""PROGRAMA DE FORMACIÓN PARA EL EMPLEO. ESPECIALIDAD JARDINERIA"".",08/04/2016,"160,00 €",4,24180,22799
2016.0001358,FORO SOCIEDAD Y GESTION PUBLICA SL,2016. ASISTENCIA TÉCNICA ADHESIÓN AL FORO DE CIUDADES POR EL EMPLEO.,05/05/2016,"2.904,00 €",4,24100,22706
2016.0001446,INDUSTRIAL AUTO PITARCH SL,02/03/16. MATERIAL PARA SU USO EN EL CURSO DE JARDINERIA DEL PROGRAMA DE FORMACIÓN.,27/04/2016,"3.216,85 €",4,24180,22199
2016.0001502,SERTEC 2011 SL,15/03/16. MATERIAL PARA SU USO EN EL TALLER DE EMPLEO.,05/05/2016,"5.507,92 €",4,24120,62300
2016.0001503,INDUSTRIAL AUTO PITARCH SL,07/03/16. MATERIAL PARA SU USO POR TALLER DE EMPLEO.,05/05/2016,"668,53 €",4,24120,62300
2016.0002141,DISMELCAS SL,27/04/16. SUMINISTRO MATERIAL TALLER DE EMPLEO VI,08/06/2016,"4.687,33 €",4,24120,22199
2016.0002149,"UNIMAT PREVENCION SDAD DE PREVENCIÓN, S.L.U.",DEL 16/10/15 AL 08/04/16. SEGURIDAD EN CARRETILLAS ELEVADORAS CURSO TEORICO-PRACTICO,08/06/2016,"1.875,50 €",4,24120,22799
2016.0002150,"TRIPLEX IBERICA, S.L.",22/04/16. REVISION MANTENIMIENTO CARRETILLAS PARA TALLER DE EMPLEO,08/06/2016,"427,89 €",4,24120,21300
2016.0002151,"MAPFRE ESPAÑA, CIA SEGUROS Y REASEGUROS S.A.",DEL 09/03 AL 31/12/16. SEGURO CARRETILLA ELEVADORA NISSAN FG D02A30Q TALLER DE EMPLEO,08/06/2016,"51,95 €",4,24120,22400
2016.0002180,INDUSTRIAL AUTO PITARCH SL,05/05/16. SUMINSTRO MATERIAL PARA SU USO POR EL TALLER DE EMPLEO.,15/06/2016,"2.273,23 €",4,24120,22199
2016.0002203,SDAD ESPAÑOLA CARBUROS METALICOS SA,04/04/16. SUMINISTRO GAS PARA SOLDAR PARA SU USO POR TALLER DE EMPLEO. ,15/06/2016,"285,10 €",4,24120,22199
2016.0002237,INDUSTRIAL AUTO PITARCH SL,02/05/16. MATERIAL PARA SU USO POR EL TALLER DE EMPLEO.,31/05/2016,"7.201,63 €",4,24120,22199
2016.0002370,SUMINISTROS TAYMON CASTELLON SL,05/05/16. MATERIAL PARA SU USO POR EL TALLER DE EMPLEO CIUD. SOLIDARIDAD VI,16/06/2016,"5.656,75 €",4,24120,22199
2016.0002371,AUTOCARES Y MICROBUSES AZAHAR 2 SL,08/05/16. SERVICIOS EXTRAS DE TRANSPORTE DE VIAJEROS DEL FESTIVAL DE LAS DANZAS DE LA ANTIGUA CORONA DE ARAGON,16/06/2016,"242,00 €",4,33400,226090
2016.0002379,"COMERCIAL DE FUSTERIA BENAGES,S.L.",17/05/16. SUMINISTRO MATERIAL PARA TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD VI,16/06/2016,"2.055,37 €",4,24120,22199
2016.0002450,"PRIMERA PLANA PRODUCCIONES, S.L.",24/05/16. REALIZACIÓN VIDEO PARA TALLER DE EMPLEO.,16/06/2016,"2.758,80 €",4,24120,22602
