#Número registro,Nombre tercero,Descripción,Fecha contable,Importe bruto,Orgánica,Programa,Económica
2014.0000326,"COPISTERIA DE CASTELLON, S.L.",16/01/14. COPIAS PLANOS PARA ACTIVIDADES.,18/03/2014,"117,61 €",6,15124,22000
2014.0000801,"COPISTERIA DE CASTELLON, S.L.",05/02/14. COPIAS PLANOS PARA ACTIVIDADES.,18/03/2014,"3,21 €",6,15124,22000
2014.0002292,"COPISTERIA DE CASTELLON, S.L.",24/04/14. COPIAS PLANOS PARA ACTIVIDADES.,20/06/2014,"4,17 €",6,15124,22000
2014.0002733,"COPISTERIA DE CASTELLON, S.L.",13/05/14. COPIAS PLANOS PARA ACTIVIDADES.,07/08/2014,"7,20 €",6,15124,22000
2014.0002984,"COPISTERIA DE CASTELLON, S.L.","02/06/14. COPIAS, PLANOS PARA ACTIVIDADES.",07/08/2014,"34,18 €",6,15124,22000
2014.0003156,"COPISTERIA DE CASTELLON, S.L.",09/06/14. COPIAS PLANOS PARA ACTIVIDADES.,07/08/2014,"9,08 €",6,15124,22000
2014.0003553,"COPISTERIA DE CASTELLON, S.L.",26/06/14. COPIAS PLANOS PARA ACTIVIDADES.,23/12/2014,"4,90 €",6,15124,22000
2014.0005875,"COPISTERIA DE CASTELLON, S.L.",28/08/2014. FOTOCOPIAS PLANOS PARA ACTIVIDADES.,30/12/2014,"32,67 €",6,15124,22000
2014.0000088,"INGENIERIA DE GESTION INDUSTRIAL, S.L.",17/12/13. VERIFICACION DE DOS SONOMETROS Y UN CALIBRADOR PARA REALIZAR MEDICIONES ACUSTICAS,28/02/2014,"691,97 €",6,15125,21300
2014.0006255,"ACUSTICA Y TELECOMUNICACIONES, S.L.",OCTUBRE/14. SERVICIO DE ESTUDIO IMPACTO ACÚSTICO AMBIENTAL ZONA PUERTO DE CASTELLÓN.,23/12/2014,"14.011,80 €",6,15125,227060
2014.0006337,"ACUSTICA Y TELECOMUNICACIONES, S.L.",NOVIEMBRE/14. PLAN DE ACCIÓN RUIDO DE LA AGLOMERACIÓN.,30/12/2014,"13.303,95 €",6,15125,227060
2014.0006339,"ACUSTICA Y TELECOMUNICACIONES, S.L.",NOVIEMBRE/14. SISTEMA DE MONITORIZADO EN CONTINUO ZONA TASCAS.,30/12/2014,"21.659,00 €",6,15125,227060
2014.0006503,"ALUVAL, S.A.",ADQUISICIÓN E INSTALACIÓN DE MATERIAL PARA MOSQUITERAS OFICINA POLICIAL DE LA TENENCIA DE ALCALDÍA OESTE,30/12/2014,"1.212,63 €",7,13230,221990
2014.0004215,FORO SOCIEDAD Y GESTION PUBLICA SL,2014. CUOTA AL FORO DE CIUDADES POR EL EMPLEO,31/10/2014,"2.904,00 €",5,24100,22706
2014.0005501,"ALUVAL, S.A.",02/10/14. MATERIAL PARA SU USO POR TALLER DE EMPLEO.,23/12/2014,"2.740,94 €",5,24100,22199
2014.0005989,CRISTALERIA EDO ROVIRA SL,01/10/14. INSTALACIÓN CLIMALIT SOBRE VENTANAS DE ALUMINIO PARA AGENCIA DESARROLLO LOCAL.,29/12/2014,"833,69 €",5,24100,22199
2014.0005991,LUBATECNIC SL,23/10/14. MATERIAL Y REPARACIÓN PERSIANAS PARA AGENCIA DESARROLLO LOCAL.,29/12/2014,"1.632,01 €",5,24100,22199
2014.0006073,REPARACIONES SERVICAS SL,27/10/14. MATERIAL PARA SU USO POR TALLER DE EMPLEO.,30/12/2014,"219,42 €",5,24100,22199
2014.0006247,SDAD ESPAÑOLA CARBUROS METALICOS SA,OCTUBRE/14. SUMINISTRO DE MATERIAL PARA USO DEL TALLER DE EMPLEO.,30/12/2014,"267,37 €",5,24100,22199
2014.0006248,"AUTOGENA CASTELLON,S.L.",OCTUBRE/14. SUMINISTRO DE MATERIAL PARA USO DEL TALLER EMPLEO.,30/12/2014,"278,30 €",5,24100,22199
2014.0006317,"CREAS ID SOCIAL, S.L",ASISTENCIA TÉCNICA  DEL GRUPO DE BUENAS PRÁCTICAS DE LA RED RETOS  PARA DESARROLLO DE ACTIVIDADES.,30/12/2014,"3.872,00 €",5,24100,227061
2014.0006638,PUBLICIDAD CASTELLON SL,01/12/14. IMPRESIÓN CARPETAS Y TRIPTICOS PARA EL ADL.,30/12/2014,"2.000,00 €",5,24100,226020
2014.0006641,"COMERCIAL CASTILLO 88, S.A.",02/12/14. MATERIAL DE FERRETERIA PARA SU USO POR EL TALLER DE EMPLEO.,30/12/2014,"724,72 €",5,24100,22199
2014.0000990,RICARDO PERIS SL,"MATERIALES (ARENA, YESO Y LADRILLOS...) PARA EL MODULO DE ALBAÑILERIA DEL TALLER EMPLEO CIUDAD SOLIDARIDAD",20/03/2014,"816,90 €",5,24120,22199
