#ORG.,PROG.,ECON.,DESCRIPCIÓN,CREDITOS INICIALES,MODIFICACI.,CREDITOS DEFINITIVOS,OBLICACIONES RECONOCIDAS
3.0,01100,31001.0,DEUDA PUBLICA.- INTERESES DE PRESTAMOS,1114907.81,0.0,1114907.81,602163.09
3.0,01100,31002.0,DEUDA PUBLICA.- INTERESES OP.TESORERIA,100000.0,0.0,100000.0,839.24
3.0,01100,31900.0,DEUDA PUBLICA.- OTROS GASTOS FINANCIEROS,50.0,0.0,50.0,1099.68
3.0,01100,91304.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA  (2007) 100,1150000.0,0.0,1150000.0,575000.0
3.0,01100,91305.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA  (2007) 419,2088536.16,0.0,2088536.16,1044268.08
3.0,01100,91312.0,DEUDA PUBLICA.-  AMORTIZ. PRÉST. B. SANTANDER (BAN.) 470,0.0,0.0,0.0,680291.55
3.0,01100,91313.0,"DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA CREDIT LOCAL, S.A. 2010",1100000.0,0.0,1100000.0,825000.0
3.0,01100,91315.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA (2008) 110,696647.48,0.0,696647.48,348323.74
3.0,01100,91316.0,"DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA CREDIT LOCAL, S.A.(2008)",503352.52,0.0,503352.52,503352.52
3.0,01100,91328.0,DEUDA PUBLICA.- AMORTIZ.PREST.BPOPULAR(RDL 4/2012),551283.88,0.0,551283.88,275641.94
3.0,01100,91329.0,DEUDA PUBLICA.- AMORTIZ.PREST. BBVA(RDL 4/2012),851204.16,0.0,851204.16,425602.08
3.0,01100,91330.0,DEUDA PUBLICA.- AMORTIZ.PREST.CAIXABANC(RDL4/2012),1107815.72,0.0,1107815.72,553907.86
3.0,01100,91331.0,DEUDA PUBLICA.- AMORTIZ.PREST.SANTANDER(RDL4/2012),948232.36,0.0,948232.36,474116.16
3.0,01100,91332.0,DEUDA PUBLICA.- AMORTIZ.PREST. SAB CAM (RDL4/2012),361758.52,0.0,361758.52,180879.26
3.0,01100,91333.0,DEUDA PUBLICA.- AMORTIZ.PREST.BANKINTER(RDL4/2012),380651.44,0.0,380651.44,2474234.4
3.0,01100,91334.0,DEUDA PUBLICA.- AMORTIZ.PREST. BANKIA (RDL 4/2012),815980.36,0.0,815980.36,407990.18
3.0,01100,91335.0,DEUDA PUBLICA.- AMORTIZ.PREST.SAN/BANES(RDL4/2012),388309.67,0.0,388309.67,194154.82
3.0,01100,91336.0,DEUDA PUBLICA.- AMORTIZ.PREST.SABADELL(RDL 4/2012),372929.12,0.0,372929.12,186464.56
3.0,01100,91337.0,DEUDA PUBLICA.- AMORT.PRES.B.MARE NOSTRUM(R4/2012),674651.4,0.0,674651.4,4385234.02
3.0,01100,91338.0,DEUDA PUBLICA.- AMORT.PRES.B.COOP.ESPAÑOL(R4/2012),333327.0,0.0,333327.0,1848886.52
3.0,01100,91341.0,D.PCA.- AMORT.ANTIC.PREST.SUPERAVIT 2016,0.0,8000016.65,8000016.65,0.0
5.0,13000.0,12000.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,6409.04
5.0,13000.0,12003.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO C1,19967.38,0.0,19967.38,12460.4
5.0,13000.0,12004.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO C2,67698.96,0.0,67698.96,36998.52
5.0,13000.0,12005.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO E,7725.03,0.0,7725.03,5094.52
5.0,13000.0,12006.0,NEG.ADMIN.SEGURIDAD.- TRIENIOS,17182.46,0.0,17182.46,10744.6
5.0,13000.0,12009.0,NEG.ADMIN.SEGURIDAD.- I.T.BASICAS,100.0,0.0,100.0,77.95
5.0,13000.0,12100.0,NEG.ADMIN.SEGURIDAD.- COMPLEMENTO DE DESTINO,63888.9,0.0,63888.9,37692.34
5.0,13000.0,12101.0,NEG.ADMIN.SEGURIDAD.- COMPLEMENTO ESPECÍFICO,122255.75,0.0,122255.75,84006.98
5.0,13000.0,12103.0,NEG.ADMIN.SEGURIDAD.- I.T.COMPLEM.,100.0,0.0,100.0,0.29
5.0,13000.0,12104.0,NEG.ADMIN.SEGURIDAD.- Incremento 1% LGPE 2017,0.0,6341.67,6341.67,0.0
5.0,13000.0,15000.0,NEG.ADMIN.SEGURIDAD.- PRODUCTIVIDADES,1838.54,0.0,1838.54,1641.0
