#ORG.,PROG.,ECON.,DESCRIPCION, CREDITOS             INICIALES,MODIFIC.,    CREDITOS             DEFINITIVOS, OBLIGACIONES       RECONOCIDAS
4.0,01100,31001.0,DEUDA PUBLICA.- INTERESES DE PRESTAMOS,5295865.28,-150500.0,5145365.28,4878094.93
4.0,01100,31002.0,DEUDA PUBLICA.-  INTERESES OP.TESORERIA,586993.19,-250000.0,336993.19,161361.0
4.0,01100,31004.0,DEUDA PÚBLICA - INTERESES DE PRÉST. (GUMSA),,,,152447.81
4.0,01100,31100.0,"DEUDA PUBLICA.- GASTOS FORMALI.,MODIF.Y CANCELAC.",171961.81,,171961.81,227394.86
4.0,01100,31900.0,DEUDA PUBLICA.-OTROS GASTOS FINANCIEROS,50.0,,50.0,4.81
4.0,01100,31901.0,DEUDA PÚBLICA - OTROS GTOS FINANC.  (GUMSA),,,,5097.6
4.0,01100,35200.0,DEUDA PUBLICA.- INTERESES DE DEMORA,100000.0,,100000.0,196728.44
4.0,01100,35201.0,DEUDA PÚBLICA - INTERESES DE DEMORA (GUMSA),,,,2434.26
4.0,01100,35900.0,DEUDA PÚBLICA. OTROS GASTOS FINANCIEROS,,,,2.5
4.0,01100,91303.0,DEUDA PUBLICA.- AMORTIZ.PREST.BANKIA (MADRID 2004),1197309.3,,1197309.3,1196900.11
4.0,01100,91304.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA  (2007) 100,1150000.0,,1150000.0,1150000.0
4.0,01100,91305.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA  (2007) 419,2088536.16,,2088536.16,2088536.16
4.0,01100,91308.0,DEUDA PUBLICA.- AMORTIZ.PREST.BANKIA (MADRID 2010),225644.42,,225644.42,225644.4
4.0,01100,91312.0,DEUDA PUBLICA.- AMORTIZ.PREST.BANESTO 2010,1176353.06,,1176353.06,1176353.07
4.0,01100,91313.0,DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA 2010,1100000.0,,1100000.0,1100000.0
4.0,01100,91315.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA (2008) 110,696647.48,,696647.48,696647.48
4.0,01100,91316.0,DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA (2008),503352.52,,503352.52,503352.52
4.0,01100,91318.0,DEUDA PUBLICA.- AMORTIZ.PREST.SANTANDER (2009)147,1100000.0,,1100000.0,1100000.0
4.0,01100,91320.0,DEUDA PUBLICA.-AMOR.PRES. BBVA (RDL.5/2009),990987.63,,990987.63,990983.09
4.0,01100,91321.0,DEUDA PUBLICA-AMORTIZ.PREST.BANKIA(MADRID R5/2009),1238518.82,,1238518.82,1238518.82
4.0,01100,91322.0,DEUDA PUBLICA.- AMORTIZ.PREST.SANTANDER(R.5/2009),625000.0,,625000.0,625000.0
4.0,01100,91323.0,DEUDA PUBLICA.-AMORT.PRES.BANKIA(BANCAJA R.5/2009),603158.46,,603158.46,603158.46
