#ORG.,PROG.,ECON.,DESCRIPCIÓN,CREDITOS INICIALES,MODIFICACI.,CREDITOS DEFINITIVOS,OBLICACIONES RECONOCIDAS
3.0,01100,31001.0,DEUDA PUBLICA.- INTERESES DE PRESTAMOS,783934.23,0.0,783934.23,558230.82
3.0,01100,31002.0,DEUDA PUBLICA.- INTERESES OP.TESORERIA,30000.0,0.0,30000.0,0.0
3.0,01100,31900.0,DEUDA PUBLICA.- OTROS GASTOS FINANCIEROS,49.96,0.0,49.96,0.5
3.0,01100,91304.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA  (2007) 100,1150000.0,0.0,1150000.0,862500.0
3.0,01100,91305.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA  (2007) 419,2088536.16,0.0,2088536.16,1566402.12
3.0,01100,91313.0,DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA CREDIT LOCAL,1100000.0,0.0,1100000.0,825000.0
3.0,01100,91315.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA (2008) 110,696647.52,0.0,696647.52,522485.62
3.0,01100,91316.0,DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA.- BANKIA,503352.52,0.0,503352.52,377514.39
3.0,01100,91329.0,DEUDA PUBLICA.- AMORTIZ.PREST. BBVA(RDL 4/2012),851204.18,0.0,851204.18,638403.12
3.0,01100,91330.0,DEUDA PUBLICA.- AMORTIZ.PREST.CAIXABANC(RDL4/2012),1107815.72,0.0,1107815.72,830861.79
3.0,01100,91331.0,DEUDA PUBLICA.- AMORTIZ.PREST.SANTANDER(RDL4/2012),948232.36,0.0,948232.36,711174.24
3.0,01100,91332.0,DEUDA PUBLICA.- AMORTIZ.PREST. SAB CAM (RDL4/2012),361758.52,0.0,361758.52,271318.89
3.0,01100,91334.0,DEUDA PUBLICA.- AMORTIZ.PREST. BANKIA (RDL 4/2012),815980.37,0.0,815980.37,611985.27
3.0,01100,91335.0,DEUDA PUBLICA.- AMORTIZ.PREST.SAN/BANES(RDL4/2012),388309.68,0.0,388309.68,291232.23
3.0,01100,91338.0,DEUDA PUBLICA.- AMORT.PRES.B.COOP.ESPAÑOL(R4/2012),15230.08,0.0,15230.08,11422.53
3.0,01100,91339.0,DEUDA PUBLICA.- AMORTIZ.PREST.SABADELL (2017),272208.72,0.0,272208.72,0.0
5.0,13000.0,12000.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO A1,14972.33,0.0,14972.33,11832.09
5.0,13000.0,12003.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO C1,20167.06,0.0,20167.06,16499.14
5.0,13000.0,12004.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO C2,59828.93,0.0,59828.93,48917.05
5.0,13000.0,12005.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO E,7802.28,0.0,7802.28,5123.16
5.0,13000.0,12006.0,NEG.ADMIN.SEGURIDAD.- TRIENIOS,17001.6,0.0,17001.6,13830.38
5.0,13000.0,12100.0,NEG.ADMIN.SEGURIDAD.- COMPLEMENTO DE DESTINO,64527.79,0.0,64527.79,50546.74
5.0,13000.0,12101.0,NEG.ADMIN.SEGURIDAD.- COMPLEMENTO ESPECÍFICO,123478.3,0.0,123478.3,118045.31
5.0,13000.0,12104.0,NEG.ADVO.SEGURIDAD.- Incremento LGPE 2018,0.0,10262.02,10262.02,0.0
5.0,13000.0,15000.0,NEG.ADMIN.SEGURIDAD.- PRODUCTIVIDADES,2223.6,0.0,2223.6,3684.6
5.0,13000.0,15100.0,NEG.ADMIN.SEGURIDAD.- GRATIFICACIONES,100.0,0.0,100.0,579.6
5.0,13000.0,16000.0,NEG.ADMIN.SEGURIDAD.- SEGURIDAD SOCIAL,81912.8,0.0,81912.8,76832.5
5.0,13001.0,12001.0,UNID.DIR.SEG. Y SERV.- SUELDOS DEL GRUPO A2,13165.94,0.0,13165.94,10915.9
5.0,13001.0,12003.0,UNID.DIR.SEG. Y SERV.- SUELDOS DEL GRUPO C1,80668.2,0.0,80668.2,66299.69
5.0,13001.0,12006.0,UNID.DIR.SEG. Y SERV.- TRIENIOS,21528.35,0.0,21528.35,19816.36
5.0,13001.0,12100.0,UNID.DIR.SEG. Y SERV.- COMPLEMENTO DE DESTINO,60002.87,0.0,60002.87,48269.32
5.0,13001.0,12101.0,UNID.DIR.SEG. Y SERV.- COMPLEMENTO ESPECÍFICO,148365.03,0.0,148365.03,118321.5
5.0,13001.0,15000.0,UNID.DIR.SEG. Y SERV.- PRODUCTIVIDADES,12556.8,0.0,12556.8,10454.65
5.0,13001.0,15100.0,UNID.DIR.SEG. Y SERV.- GRATIFICACIONES,5373.2,0.0,5373.2,5485.8
5.0,13001.0,16000.0,UNID.DIR.SEG. Y SERV.- SEGURIDAD SOCIAL,89701.92,0.0,89701.92,77070.3
5.0,13200.0,12000.0,POLICIA LOCAL.- SUELDOS DEL GRUPO A1,59889.33,0.0,59889.33,23516.89
5.0,13200.0,12001.0,POLICIA LOCAL.- SUELDOS DEL GRUPO A2,223820.98,0.0,223820.98,184569.1
5.0,13200.0,12002.0,POLICIA LOCAL.- DIFERENCIAS PARA OFICIALES,76604.96,0.0,76604.96,0.0
5.0,13200.0,12003.0,POLICIA LOCAL.- SUELDOS DEL GRUPO C1,2631801.33,0.0,2631801.33,2010762.0
5.0,13200.0,12006.0,POLICIA LOCAL.- TRIENIOS,587108.26,0.0,587108.26,484257.91
5.0,13200.0,12100.0,POLICIA LOCAL.- COMPLEMENTO DE DESTINO,1834793.16,0.0,1834793.16,1360728.11
5.0,13200.0,12101.0,POLICIA LOCAL.- COMPLEMENTO ESPECÍFICO,4190148.33,0.0,4190148.33,3466154.3
5.0,13200.0,12104.0,POLICIA LOCAL.- Incremento LGPE 2018,0.0,174101.35,174101.35,0.0
5.0,13200.0,15000.0,POLICIA LOCAL.- PRODUCTIVIDADES,452639.96,0.0,452639.96,402938.47
5.0,13200.0,15100.0,POLICIA LOCAL.- GRATIFICACIONES,290847.67,0.0,290847.67,279251.4
5.0,13200.0,16000.0,POLICIA LOCAL.- SEGURIDAD SOCIAL,2604908.01,0.0,2604908.01,1988240.97
5.0,13200.0,16200.0,POLICIA LOCAL.- FORMACIÓN EXTERNA (ESPAC 5.3),3000.0,0.0,3000.0,0.0
5.0,13200.0,20601.0,UNID.APOYO.- SIST INTEGRAL GESTIÓN SALA EMERGENCIAS,152460.0,-50000.0,102460.0,475.53
