#Ej.,Económ.,Descripción,Previsiones iniciales,Previsiones modificadas,Previsiones definitivas,Derechos reconocidos
2018.0,10000.0,CESIÓN I.R.P.F.,2989433.88,0.0,2989433.88,285070.25
2018.0,10002.0,IRPF PTE 2009,0.0,0.0,0.0,-4396.89
2018.0,11200.0,IBI.NATURALEZA RUSTICA,1000000.0,0.0,1000000.0,68377.16
2018.0,11300.0,IBI.NATURALEZA URBANA,61400000.0,0.0,61400000.0,-15415.58
2018.0,11400.0,IBI CARACTERISTICAS ESPECIALES,9051429.79,0.0,9051429.79,0.0
2018.0,11500.0,IMPTO.VEHICC.TRACC.MECANICA,10650000.0,0.0,10650000.0,-4726.15
2018.0,11600.0,IMPTO.INCREM.VALOR TERRENOS,6000000.0,0.0,6000000.0,-5426.59
2018.0,13000.0,IMPTO.ACTIV.ECONOMICAS,7100000.0,0.0,7100000.0,0.0
2018.0,21000.0,CESION IVA,2576624.64,0.0,2576624.64,245694.17
2018.0,21001.0,IVA PTE 2008,0.0,0.0,0.0,-2074.58
2018.0,21002.0,IVA PTE 2009,0.0,0.0,0.0,-4282.73
2018.0,22000.0,CESION IMPTO.ESP.ALCOHOL Y BEBIDAS DERIVADAS,37452.72,0.0,37452.72,3361.26
2018.0,2200002.0,LIQ.ALCOHOL PTE 2009,0.0,0.0,0.0,-30.07
2018.0,22001.0,CESION IMPTO.ESP.CERVEZA,13841.52,0.0,13841.52,1096.93
2018.0,2200102.0,LIQ.IMPTO.SOBRE LA CERVEZA PTE 2009,0.0,0.0,0.0,-0.69
2018.0,22003.0,CESION IMPTO.ESP.LABORES TABACO,368141.52,0.0,368141.52,26644.48
2018.0,2200302.0,LIQ.IMPTO.SOBRE EL TABACO PTE 2009,0.0,0.0,0.0,-94.46
2018.0,22004.0,CESION IMPTO.ESP.HIDROCARBUROS,451971.24,0.0,451971.24,39801.54
2018.0,2200402.0,LIQ.IMPTO.SOBRE HIDROCARBUROS PTE 2009,0.0,0.0,0.0,-171.63
2018.0,22006.0,CESION IMPTO.ESP.PRD.INTERMEDIOS,802.44,0.0,802.44,83.91
2018.0,2200602.0,LIQ.PRODUC.INTERMED.PTE 2009,0.0,0.0,0.0,-0.49
2018.0,29000.0,IMPTO.CONSTR.INST.Y OBRAS,1000000.0,0.0,1000000.0,-3181.43
2018.0,30200.0,TASA BASURAS,11500000.0,0.0,11500000.0,-4258.5
2018.0,32100.0,LICENCIAS URBANISTICAS,275000.0,0.0,275000.0,-288.03
2018.0,32200.0,TASA LICENCIA OCUPACION,40000.0,0.0,40000.0,0.0
2018.0,32300.0,TASA LIC.APERTURA ESTABLECIMIENTOS,175000.0,0.0,175000.0,-215.21
2018.0,32500.0,TASA EXPEDICION DOCUMENTOS,25000.0,0.0,25000.0,0.0
2018.0,32900.0,TASA DERECHOS EXAMEN,30000.0,0.0,30000.0,0.0
2018.0,32901.0,TASA MATRIMONIOS CIVILES,25000.0,0.0,25000.0,0.0
2018.0,32903.0,TASA PLANETARIO,30000.0,0.0,30000.0,2544.0
2018.0,32904.0,TASA SERVICIO SEGURIDAD PÚBLICA,100000.0,0.0,100000.0,0.0
2018.0,32905.0,TASAS MERCADOS ORDINARIOS,65000.0,0.0,65000.0,0.0
2018.0,33100.0,TASA ENTRADA VEHICULOS (VADOS),1930000.0,0.0,1930000.0,-299.2
2018.0,33200.0,"TASA EXPLOT.STROS.VUELO, SUELO Y SUBSUELO",3500000.0,0.0,3500000.0,0.0
2018.0,33500.0,TASA OVP. MESAS Y SILLAS,300000.0,0.0,300000.0,0.0
2018.0,33900.0,TASA.OVP. MERCADOS EXTRAORDINARIOS,100000.0,0.0,100000.0,81095.04
2018.0,33901.0,"TASA OVP(CABINAS,CAJEROS,PUESTOS,CONTEN.Y OTRAS)",250000.0,0.0,250000.0,1717.13
2018.0,34200.0,PRECIOS PÚBLICOS ESCOLA DE MATÍ,100000.0,0.0,100000.0,9359.67
2018.0,34401.0,PRECIOS PÚBLICOS PÉRGOLA,2000.0,0.0,2000.0,0.0
2018.0,34901.0,"P.PCOS.CIUDADANIA(JUV.,CULT.,3 EDAD.TEMPS.)",42000.0,0.0,42000.0,2682.0
2018.0,36000.0,VENTA MATERIAL DESECHO VEHICULOS,35000.0,0.0,35000.0,0.0
2018.0,36001.0,"VENTAS.PUBLICACIONES, PLANOS, CD",2000.0,0.0,2000.0,0.0
2018.0,38900.0,REINTEGRO PAGOS PTOS.CERRADOS,20000.0,0.0,20000.0,0.0
2018.0,39100.0,MULTAS INFRACCIONES URBANISTICAS,20000.0,0.0,20000.0,0.0
2018.0,39110.0,MULTAS INFRACCIONES FISCALES,40000.0,0.0,40000.0,0.0
2018.0,39120.0,MULTAS CIRCULACION,950000.0,0.0,950000.0,-2547.38
2018.0,39190.0,MULTAS Y SANCIONES ORDENANZAS,115000.0,0.0,115000.0,0.0
2018.0,39192.0,MULTAS COERCITIVAS. EJEC.SUBSID.,5000.0,0.0,5000.0,0.0
2018.0,39211.0,RECARGO DE APREMIO  10% Y 20%,1423660.54,0.0,1423660.54,-719.5
2018.0,39300.0,INTERESES DEMORA,450000.0,0.0,450000.0,-123.45
2018.0,39900.0,RECURSOS EVENTUALES,5000.0,0.0,5000.0,0.0
2018.0,39901.0,IMPREVISTOS,20000.0,0.0,20000.0,0.0
2018.0,39902.0,REINTEGRO PARTICULARES ANUNCIOS,10000.0,0.0,10000.0,0.0
2018.0,39903.0,COMPENSACION SERV.EXT.INCENDIOS,619662.16,0.0,619662.16,0.0
2018.0,39904.0,"RECOG.SEL.ENVASES,PAPEL Y VIDRIO",400000.0,0.0,400000.0,0.0
2018.0,39905.0,EJECUCIONES SUBSIDIARIAS,10000.0,0.0,10000.0,0.0
2018.0,39906.0,DAÑOS (INDEMNIZACIONES),35000.0,0.0,35000.0,1768.37
2018.0,39907.0,COSTAS RECAUDACION EJECUTIVA,25000.0,0.0,25000.0,-3.5
