#Ej.,Económ.,Descripción,Previsiones iniciales,Previsiones modificadas,Previsiones definitivas,Derechos reconocidos
2018.0,10000.0,CESIÓN I.R.P.F.,3368080.0,0.0,3368080.0,3529501.01
2018.0,10002.0,IRPF PTE 2009,0.0,0.0,0.0,-48365.79
2018.0,11200.0,IBI.NATURALEZA RUSTICA,1509734.0,0.0,1509734.0,2191066.09
2018.0,11300.0,IBI.NATURALEZA URBANA,60523065.0,0.0,60523065.0,58788221.65
2018.0,11400.0,IBI CARACTERISTICAS ESPECIALES,9118796.33,0.0,9118796.33,8989534.52
2018.0,11500.0,IMPTO.VEHICC.TRACC.MECANICA,10650000.0,0.0,10650000.0,10848698.92
2018.0,11600.0,IMPTO.INCREM.VALOR TERRENOS,6000000.0,0.0,6000000.0,4726267.04
2018.0,13000.0,IMPTO.ACTIV.ECONOMICAS,7100000.0,0.0,7100000.0,6666262.18
2018.0,21000.0,CESION IVA,2872050.0,0.0,2872050.0,3111729.53
2018.0,21001.0,IVA PTE 2008,0.0,0.0,0.0,-22820.38
2018.0,21002.0,IVA PTE 2009,0.0,0.0,0.0,-47110.03
2018.0,22000.0,CESION IMPTO.ESP.ALCOHOL Y BEBIDAS DERIVADAS,39980.0,0.0,39980.0,39531.29
2018.0,2200002.0,LIQ.ALCOHOL PTE 2009,0.0,0.0,0.0,-330.77
2018.0,22001.0,CESION IMPTO.ESP.CERVEZA,13150.0,0.0,13150.0,12175.58
2018.0,2200102.0,LIQ.IMPTO.SOBRE LA CERVEZA PTE 2009,0.0,0.0,0.0,-7.59
2018.0,22003.0,CESION IMPTO.ESP.LABORES TABACO,318600.0,0.0,318600.0,316805.97
2018.0,2200302.0,LIQ.IMPTO.SOBRE EL TABACO PTE 2009,0.0,0.0,0.0,-1039.06
2018.0,22004.0,CESION IMPTO.ESP.HIDROCARBUROS,475560.0,0.0,475560.0,461446.26
2018.0,2200402.0,LIQ.IMPTO.SOBRE HIDROCARBUROS PTE 2009,0.0,0.0,0.0,-1887.93
2018.0,22006.0,CESION IMPTO.ESP.PRD.INTERMEDIOS,1000.0,0.0,1000.0,1105.2
2018.0,2200602.0,LIQ.PRODUC.INTERMED.PTE 2009,0.0,0.0,0.0,-5.39
2018.0,29000.0,IMPTO.CONSTR.INST.Y OBRAS,2000000.0,0.0,2000000.0,1995559.27
2018.0,30200.0,TASA BASURAS,11440552.91,0.0,11440552.91,11224658.06
2018.0,32100.0,LICENCIAS URBANISTICAS,350000.0,0.0,350000.0,459767.21
2018.0,32200.0,TASA LICENCIA OCUPACION,40000.0,0.0,40000.0,34420.0
2018.0,32300.0,TASA LIC.APERTURA ESTABLECIMIENTOS,250000.0,0.0,250000.0,179955.65
2018.0,32500.0,TASA EXPEDICION DOCUMENTOS,25000.0,0.0,25000.0,40918.23
2018.0,32600.0,TASA RETIRADA VEHICULOS,0.0,0.0,0.0,327.8
2018.0,32900.0,TASA DERECHOS EXAMEN,30000.0,0.0,30000.0,6615.25
2018.0,32901.0,TASA MATRIMONIOS CIVILES,25000.0,0.0,25000.0,16323.0
2018.0,32903.0,TASA PLANETARIO,40000.0,0.0,40000.0,11874.55
2018.0,32904.0,TASA SERVICIO SEGURIDAD PÚBLICA,100000.0,0.0,100000.0,88237.71
