Número registro,Nombre tercero,Descripción,Fecha contable,Importe factura,Orgánica,Programa,Económica
2018.0000394,"COPISTERIA DE CASTELLON, S.L.",COPIAS PLANOS A2 PARA ACTIVIDADES,16/02/18,"2,66 €",5,15123,22000
2018.0001442,SCI SERVICIOS DE COLABORACION INTEGRAL SL, 01/12/2017 AL 28/02/2017. COSTAS SERVICIO COLABORACION EN MATERIA GESTION Y RECAUDACION INGRESOS DE DERECHO PUBLICO AYTO,26/04/18,"10.243,81 €",3,93220,22708
2018.0000285,CASTELLANO ACTIVA SL, 10/01/18. INSPECCIÓN TÉCNICA DEL VEHICULO MATRICULA CS-7064-AM DE BRIGADAS.,28/02/18,"34,04 €",5,92040,21400
2018.0001583,ILUSTRE COLEGIO ABOGADOS DE CASTELLON, 2018. CUOTA COLEGIAL MIGUEL ARRUFAT PUJOL,23/04/18,"704,00 €",2,92010,22604
2018.0000804,"MAPFRE ESPAÑA, CIA SEGUROS Y REASEGUROS S.A.", 2018. POLIZA DE SEGURO DE LA FLOTA DE VEHICULOS MUNICIPALES. JGL 30/12/16 PRORROGA 22/12/17.,02/03/18,"57.801,00 €",5,13230,22400
2018.0000469,COTA ZERO TECNICA I CONSTRUCCIO INTEGRADA SL," 4/12/17. DISEÑO, MAQUETACIÓN E INFOGRAFIAS DEL PROYECTO PUENTE SOBRE EL RIO SECO.",26/02/18,"1.815,00 €",5,15300,227060
2018.0002710,SERUNION SAU," ABRIL 18. CONVENIO DESARROLLO PROGRAMA ""MENJAR A CASA""  APROBADO POR JGL 20/09/13 SUSCRITO EL 15/11/13 (1ª PRORROGA JGL 22-07-16) SEGUN JGL 30/06/17.",25/05/18,"2.137,17 €",5,23107,227991
2018.0003352,BANCO DE SANTANDER SA, DEL 25 AL 31 DE MAYO 2018. LOTE 3. COMPRA DE 6 VEHICULOS TIPO TODO TERRENO PATRULLERO 5 PLAZAS TOTALMENTE EQUIPADOS CON DESTINO POLICIA LOCAL DE CASTELLON JGL 26/01/18 (FORMALIZADO 01/03/18) ACTA ENTREGA 24/5/18.,28/06/18,"899,60 €",5,13230,20400
2018.0000443,RICOH ESPAÑA SLU," DICIEMBRE 17. ARRENDAMIENTO Y MANTENIMIENTO DE 188 EQUIPOS DE IMPRESION, ESCANEO Y FOTOCOPIADO, EFICIENTEMENTE ENERGETICOS PARA EL AYUNTAMIENTO DE CS. JGL 13/1/17 (FORMALIZADO 8/2/17)ACTA RECEPCION 14/3/17 (PUESTA EN MARCHA 9/3/17).",23/02/18,"16.158,09 €",3,92053,20601
2018.0000079,SERUNION SAU," DICIEMBRE/17.  DESARROLLO PROGRAMA ""MENJAR A CASA""  APROBADO POR JGL 20/09/13 SUSCRITO EL 15/11/13 (1ª PRORROGA JGL 22-07-16) SEGUN JGL 30/06/17.",09/02/18,"1.883,49 €",5,23107,227991
2018.0000629,TALHER SA, ENERO 2018 . CAMPAÑA CONTRA EL PICUDO ROJO DE LAS PALMERAS JGL 23-12-15 (FORMALIZADO 19-01-16).,23/02/18,"2.092,47 €",5,17100,227991
2018.0000714,PROJARDIN OBRAS Y SERVICIOS SL," ENERO 2018. CONSERVACION, MANTENIMIENTO Y LIMPIEZA DEL PARQUE MERIDIANO MANTENIMIENTO.",26/04/18,"2.586,11 €",5,17100,227990
2018.0001064,MAQUIVER SL, FEBRERO/18.  SERVICIO PRESTAMO DE BICICLETAS DE USO PUBLICO EN EL TERMINO MUNICIPAL DE CASTELLON. JGL 05-12-14 (FORMALIZADO 16/12/14) MODIFICACION CONTRATO JGL 30/06/17.,16/03/18,"46.542,29 €",5,44120,227990
2018.0000118,"MAPFRE ESPAÑA, CIA SEGUROS Y REASEGUROS S.A.", POLIZA DE SEGURO DE RESPONSABILIDAD CIVIL/PATRIMONIAL. JGL 30/12/16 PRORROGA 22/12/17.,09/02/18,"93.740,90 €",3,92020,22401
2018.0000195,CASTELLON BASE SL,01/01/18. INSERCIÓN BANNER Y DIFUSIÓN NOTICIAS EN WEB CASTELLON BASE.COM.,06/02/18,"302,50 €",1,92070,22602
2018.0001549,SDAD ESPAÑOLA CARBUROS METALICOS SA,01/01/18. SUMINISTRO GAS PARA SOLDAR PARA TALLER DE CERRAJERIA,06/05/18,"353,32 €",5,15350,221990
2018.0000840,ALPE ANIMACIO SLU,"01/02/18. ACTUACIÓN DE ""EL RECITRAK"" EN IES SOS BAYNAT.",29/03/18,"786,50 €",3,33410,22699
2018.0001083,VIAJES TRANSVIA TOURS SL,01/02/18. BILLETE DE AVIÓN A FAVOR DE LA ASESORA ÁREA DERECHOS Y SERVICIOS DE MADRID A LANZAROTE CON MOTIVO DE LA ASISTENCIA ASAMBLEA AECIPE (ASOCIACIÓN ESPAÑOLA DE CIUDADES POR LA PESCA),29/03/18,"852,33 €",5,15300,226990
2018.0001036,VIAJES TRANSVIA TOURS SL,"01/02/18. BILLETE DE AVIÓN POR ASISTENCIA DEL SR. ROMÁN SIMÓN GÓMEZ, POR DESIGNACIÓN EN REPRESENTACIÓN DE ESTE AYUNTAMIENTO, A LA ASAMBLEA ANUAL DE AECIPE QUE SE CELEBRA EL 2 DE FEBRERO 2018 EN LANZAROTE.",21/02/18,"852,33 €",3,92063,23120
2018.0000908,VIAJES TRANSVIA TOURS SL,"01/02/18. BILLETE DE TREN Y ALOJAMIENTO POR ASISTENCIA DEL SR. ROMÁN SIMÓN GÓMEZ, POR DESIGNACIÓN EN REPRESENTACIÓN DE ESTE AYUNTAMIENTO, A LA ASAMBLEA ANUAL DE AECIPE QUE SE CELEBRA EL 2 DE FEBRERO 2018 EN LANZAROTE.",21/02/18,"242,00 €",3,92063,23020
2018.0000849,VIAJES TRANSVIA TOURS SL,01/02/18. BILLETE TREN Y ALOJAMIENTO ASESORA ÁREA DERECHOS Y SERVICIOS A MADRID ASISTENCIA ASAMBLEA AECIPE (ASOCIACIÓN ESPAÑOLA DE CIUDADES POR LA PESCA),14/03/18,"242,00 €",5,15300,226990
2018.0000845,VIAJES TRANSVIA TOURS SL,"01/02/18. BILLETES TREN Y ALOJAMIENTO A LLEIDA CONCEJAL DE EDUCACIÓN ""JORNADAS ASOCIACIÓN INTERNACIONAL DE CIUDADES EDUCADORAS"".",14/03/18,"155,80 €",4,32000,226996
2018.0001806,IMAGENARTE ENMARCACIONES SL,01/02/18. ENMARCACIÓN CARTEL MAGDALENA PARA PROTOCOLO.,24/05/18,"60,00 €",1,91201,226010
2018.0000512,IMPRENTA ROSELL SL,"01/02/18. IMPRESIÓN CARTELES Y TARJETAS CAMPAÑA ""12 GAJOS MANDARINA""",28/02/18,"234,74 €",5,17000,22602
2018.0000650,ADHESIUS CASTELLO SL,"01/02/18. IMPRESIÓN VINILO CON MOTIVO DE LA EXPOSICION ""MOTIUS FLORALS"" DE JUAN RIVERO CELEBRADO EN EL CENTRO MUNICIPAL DE CULTURA.",11/03/18,"54,45 €",4,33400,227061
2018.0000619,CASTELLON BASE SL,01/02/18. INSERCIÓN BANNER PUBLICITARIO EN LA WEB CASTELLON BASE.COM.,14/03/18,"302,50 €",1,92070,22602
2018.0000666,WOLTERS KLUWER SA,01/02/18. MANUAL DE TESORERIA DE LAS CORPORACIONES LOCALES PARA INTERVENCIÓN.,11/03/18,"99,84 €",3,93100,22001
2018.0000724,HIERROS Y METALES CASTELLON SL,01/02/18. MATERIAL PARA SU USO POR BRIGADAS.,14/03/18,"301,34 €",5,15350,221990
2018.0000511,IMPRENTA ROSELL SL,01/02/18. REPARTO CARTELES SENTIM EL PARCS ENERO,28/02/18,"217,80 €",5,17000,226990
2018.0001276,"JOAQUIN GUILLEN & ASOCIADOS CONSULTORIA DE MARKETING, S.L.U.",01/03/18. CAMPAÑA DE HÁBITOS ALIMENTICIOS SALUDABLES PARA GENTE MAYOR.,15/04/18,"2.680,63 €",5,23105,226994
2018.0001447,ADHESIUS CASTELLO SL,01/03/18. IMPRESIÓN TOTEM PROGRAMACIÓN AGENDA CULTURAL DEL MES DE MARZO S/DEC 31/01/2018,05/04/18,"575,96 €",4,33400,226021
2018.0001256,CASTELLON BASE SL,01/03/18. INSERCIÓN BANNER PUBLICITARIO S/NOTICIAS EN WEB CASTELLON.,23/04/18,"302,50 €",1,92070,22602
2018.0001644,COLOR Y PINTURA CASTELLON SL,01/03/18. MATERIAL DE PINTURA PARA SU USO POR BRIGADAS.,11/05/18,"242,90 €",5,15350,221990
2018.0001801,DISMELCAS SL,01/03/18. MATERIAL PARA SU USO POR JORNALS DE VILA.,15/05/18,"265,87 €",4,24130,221990
2018.0002342,VETFAUNIA CB,01/03/18. MEDICAMENTOS PARA EL CAN DE LA POLICIA LOCAL.,24/05/18,"55,50 €",5,13230,226991
2018.0001325,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,01/03/18. NOTA SIMPLE PROY. EXPROPIACIÓN TERRENOS NECESARIOS PARA CONEXIÓN C/CARCAGENTE Y RONDA ESTE.,15/04/18,"3,64 €",5,15112,22604
2018.0001104,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,01/03/18. ORGANIZACION DE TALLERES DIRIGIDOS A CONSUMIDORES SOBRE AHORRO ENERGETICO EN EL HOGAR.,21/03/18,"2.600,00 €",4,49310,226060
2018.0002344,VETFAUNIA CB,01/03/18. PIENSO PARA EL CAN DE LA POLICIA LOCAL.,31/05/18,"24,95 €",5,13230,226991
2018.0001288,"ORTOSAN & TAXIDA, S.L.",01/03/18. SUMINISTRO DE 10 MASCARILLAS RESPIR PARA POLICIA LOCAL.,15/04/18,"22,99 €",5,13230,221990
2018.0001651,SDAD ESPAÑOLA CARBUROS METALICOS SA,01/04/18. ALQUILER BOTELLAS GAS PARA SOLDAR PARA SU USO EN EL TALLER DE EMPLEO.,31/05/18,"307,90 €",4,24120,22199
2018.0001914,PLASGOCAS SL,01/04/18. MATERIAL PARA SU USO POR BRIGADAS.,09/06/18,"1,31 €",5,15350,221990
2018.0002200,"SAGALS,CB",01/04/18. TALLER LUDICO-CIENTIFICOS CELEBRADO EN EL PLANETARIO,09/06/18,"195,00 €",4,33300,22609
2018.0003254,"GRAFICAS CASTAÑ, S.L.",01/06/18. IMPRESIÓN AGENDA CULTURAL.S/DEC 31/01/2018,26/06/18,"716,35 €",4,33400,226021
2018.0000165,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,01/12/17. INSERCIÓN PUBLICITARIA S/MARATON BP DE CASTELLON EN LA REVISTA RUNNING CV,26/04/18,"1.452,00 €",1,92070,22602
2018.0000196,FLORENTINO BARRACHINA SL,01/12/17. REPARACIÓN VEHICULO MATRICULA CS-4637-AV DE BRIGADAS.,06/02/18,"677,99 €",5,92040,21400
2018.0000270,ADHESIUS CASTELLO SL,02/01/18. IMPRESIÓN TOTEM PROGRAMACIÓN CULTURA ENERO.,31/01/18,"575,96 €",4,33400,226021
2018.0000334,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,02/01/18. NOTA SIMPLE ORDEN DE EJECUCIÓN Nº 245/17 INMUEBLE SITO C/MORERÍA Nº 5,06/02/18,"3,64 €",5,15121,22604
2018.0000317,CASTALIA NEUMATICOS SLU,02/01/18. REPARACIÓN VEHICULO MATRICULA CS-2408-Y DE BRIGADAS.,28/02/18,"506,72 €",5,92040,21400
2018.0001109,VETERINARIA MARTA MARTIN SLP,"02/01/18. SUMINISTRO MEDICAMENTOS, IDENTIFICACIÓN CHIP Y PIENSO PARA EL CAN DE LA POLICIA LOCAL.",29/03/18,"100,28 €",5,13230,221990
2018.0000555,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"02/01/18. TRANSPORTE, MONTAJE Y DESMONTAJE DE 18 CASETAS DE MADERA PARA DESARROLLO DEL MERCADO DE NAVIDAD. PLAZA SANTA CLARA  S/DEC 14/04/2018 Y REAJUSTE DE ANULIDADES S/DEC 15/03/2018",05/04/18,"2.000,00 €",4,43100,2269911
2018.0001561,FORMAT G 10  SL,02/02/18. PANEL FOTOGRÁFICO PARA CEVISAMA S/CAMPAÑA BANCOS DE CERÁMICA.,25/04/18,"69,41 €",5,15300,221990
2018.0001718,AUTOCARES MESEGUER SL,02/03/18.  SERVICIO DISCRECIONAL DE AUTOBUS A VALENCIA DE LOS VOLUNTARIOS AL AEROPUERTO PARA FOMENTAR ACCIONES TENDENTES A LA SENSIBILIZACION CIUDADANA.,06/05/18,"242,00 €",5,23106,226990
2018.0001607,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"02/03/18. DISEÑO, MAQUETACION DEL CALENDARIO ""DOTZE ARTISTES, DOTZE ESCOLES, DOTZE MESOS"".",06/05/18,"834,90 €",4,32000,226994
2018.0001764,EDITORIAL PRENSA VALENCIANA SA,02/03/18. INSERCIÓN PUBLICITARIA S/CAMPAÑA DE MAGDALENA EN DIARIO LEVANTE.,24/05/18,"1.633,50 €",1,92070,22602
2018.0001765,EDITORIAL PRENSA VALENCIANA SA,02/03/18. INSERCIÓN PUBLICITARIA S/DIA DE LA DONA EN DIARIO LEVANTE.,24/05/18,"726,00 €",1,92070,22602
2018.0001869,PROMOCIONES Y EDICIONES CULTURALES SA,02/03/18. INSERCIÓN PUBLICITARIA S/FIESTAS DE LA MAGDALENA EN DIARIO MEDITERRÁNEO.,24/05/18,"2.590,01 €",1,92070,22602
2018.0001638,"FLEXIBLES LA PLANA, S.L",02/03/18. MATERIAL PARA SU USO POR BRIGADAS.,11/05/18,"4,91 €",5,15350,221990
2018.0001159,DEMOLICIONES Y SERVICIOS MENGUILLO SL,02/03/18. RETIRADA DE RESIDUOS DE DIFERENTES CAMINOS.,15/04/18,"5.100,15 €",5,16210,227992
2018.0001721,AUTOCARES MESEGUER SL,"02/03/18. SUPLEMENTO POR EL EQUIPAJE DE LOS VOLUNTARIOS DESDE CASTELLON AL AEROPUERTO DE VALENCIA, PARA FOMENTAR ACCIONES TENDENTES A LA SENSIBILIZACION CIUDADANA.",06/05/18,"18,00 €",5,23106,226990
2018.0002838,IMAGENARTE ENMARCACIONES SL,"02/05/18. ENMARCACIÓN ""PREMIO VIVIENDA, MOVILIDAD Y URBANIZACIÓN CON PERSPECTIVA DE GENERO"" PARA ALCALDÍA.",18/06/18,"25,00 €",1,91201,226990
2018.0002584,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,02/05/18. IMPRESIÓN PLOTTER AGENDA CULTURAL.,31/05/18,"121,00 €",4,33400,226021
2018.0002582,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,02/05/18. IMPRESIÓN PROGRAMACIÓN AGENDA CULTURAL. DEC 31/01/2018,31/05/18,"544,50 €",4,33400,226021
2018.0002583,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,02/05/18. IMPRESIÓN TOTEM PROGRAMACIÓN AGENDA CULTURAL DEC 31/01/2018,31/05/18,"205,70 €",4,33400,226021
2018.0002616,ADHESIUS CASTELLO SL,02/05/18. IMPRESIÓN TOTEM PROGRAMACIÓN AGENDA CULTURAL. DEC 31/01/2018,23/05/18,"575,96 €",4,33400,226021
2018.0002541,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,02/05/18. IMPRESIÓN VINILO PROGRAMACIÓN TEATRO DEL RAVAL MAYO.  DEC 31/01/2018,23/05/18,"48,40 €",4,33400,226021
2018.0002752,INNOVACIO DIGITAL CASTELLO SL,"02/05/18. MAQUETACIÓN, IMPRESIÓN Y SUMINISTRO DE LA DOCUMENTACIÓN PARA EL PROCESO ORDINARIO DE ESCOLARIZACIÓN.",09/06/18,"2.019,49 €",4,32000,22000
2018.0002415,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"02/05/18. ORGANIZACION DE JORNADAS SOBRE PRODUCTOS DE PROXIMIDAD, ARTESANOS Y ECOLOGICOS.",23/05/18,"3.172,62 €",4,49320,226993
2018.0000788,COMUNIDAD PROPIETARIOS GRUPO LA PAZ,02/10/17. GASTOS EXTRAORDINARIOS DE COMUNIDAD DE LA VIVIENDA MUNICIPAL SITA GRUPO LA PAZ BLOQUE V 14-58.,26/04/18,"800,00 €",5,15200,21200
2018.0000789,COMUNIDAD PROPIETARIOS GRUPO LA PAZ,"02/10/17. GASTOS EXTRAORDINARIOS DE COMUNIDAD DE LA VIVIENDA MUNICIPAL SITA GRUPO LA PAZ BLOQUE V, 12, 50.",26/04/18,"800,00 €",5,15200,21200
