#,_unnamed,_unnamed_2,EJECUCION DE GASTOS CORRIENTES EJERCICIO A 31-12- 2015,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6
#,,,,,,,
#ORG.,PROG.,ECON.,DESCRIPCIÓN,CREDITOS INICIALES,MODIFICACI.,CREDITOS DEFINITIVOS,OBLICACIONES RECONOCIDAS
4.0,1100.0,31001.0,DEUDA PUBLICA.- INTERESES DE PRESTAMOS,3164134.0,-1827277.92,1336856.08,1340223.56
4.0,1100.0,31002.0,DEUDA PUBLICA.- INTERESES OP.TESORERIA,500000.0,-19395.44,480604.56,110958.19
4.0,1100.0,31003.0,D.P.-AHORRO COSTES FINAN.MODIF.TIPO INTERES RD4/12,627903.63,,627903.63,
4.0,1100.0,31100.0,"GASTOS DE FORMALIZACIÓN, MODIFICACIÓN Y CANCELACIÓ",,,,
4.0,1100.0,31900.0,DEUDA PUBLICA.- OTROS GASTOS FINANCIEROS,25.0,,25.0,2527.66
4.0,1100.0,35200.0,DEUDA PÚBLICA.- INTERESES DE DEMORA,,,,18.32
4.0,1100.0,35301.0,DEUDA PUBLICA.- OPERACIONES INTERCAMBIO FINANCIERO,42874.14,,42874.14,42874.14
4.0,1100.0,91304.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA  (2007) 100,1150000.0,,1150000.0,1150000.0
4.0,1100.0,91305.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA  (2007) 419,2088536.16,,2088536.16,2088536.16
4.0,1100.0,91312.0,DEUDA PUBLICA.- AMORTIZ.PREST.SANTAND.BANESTO 2010,1271301.57,,1271301.57,1271301.57
4.0,1100.0,91313.0,DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA SABADELL 2010,1100000.0,,1100000.0,1100000.0
4.0,1100.0,91315.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA (2008) 110,696647.48,,696647.48,696647.48
4.0,1100.0,91316.0,DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA SABADELL(2008),503352.52,,503352.52,503352.52
4.0,1100.0,91318.0,DEUDA PUBLICA.- AMORTIZ.PREST.SANTANDER (2009)147,1100000.0,,1100000.0,1306675.83
4.0,1100.0,91320.0,DEUDA PUBLICA.- AMORTIZ.PREST. BBVA (RDL.5/2009),1045134.56,,1045134.56,1045134.56
4.0,1100.0,91321.0,DEUDA PUBLICA.- AMORT.PREST.BANKIA(MADRID R5/2009),1300776.19,,1300776.19,1300776.19
4.0,1100.0,91322.0,DEUDA PUBLICA.- AMORTIZ.PREST.SANTANDER(R.5/2009),625000.0,,625000.0,625000.0
4.0,1100.0,91323.0,DEUDA PUBLICA.- AMORT.PRES.BANKIA(BANCAJA R5/2009),603158.46,,603158.46,603158.45
4.0,1100.0,91324.0,DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA S.(RDL 5/2009),1250000.0,,1250000.0,1250000.0
4.0,1100.0,91328.0,DEUDA PUBLICA.- AMORTIZ.PREST.BPOPULAR(RDL 4/2012),361753.0,1205554.67,1567307.67,1205554.67
4.0,1100.0,91329.0,DEUDA PUBLICA.- AMORTIZ.PREST. BBVA(RDL 4/2012),425602.08,,425602.08,
4.0,1100.0,91330.0,DEUDA PUBLICA.- AMORTIZ.PREST.CAIXABANC(RDL4/2012),553907.86,,553907.86,
4.0,1100.0,91331.0,DEUDA PUBLICA.- AMORTIZ.PREST.SANTANDER(RDL4/2012),474116.18,,474116.18,
4.0,1100.0,91332.0,DEUDA PUBLICA.- AMORTIZ.PREST. SAB CAM (RDL4/2012),180879.26,,180879.26,
4.0,1100.0,91333.0,DEUDA PUBLICA.- AMORTIZ.PREST.BANKINTER(RDL4/2012),190325.72,,190325.72,
4.0,1100.0,91334.0,DEUDA PUBLICA.- AMORTIZ.PREST. BANKIA (RDL 4/2012),407990.18,,407990.18,
4.0,1100.0,91335.0,DEUDA PUBLICA.- AMORTIZ.PREST.SAN/BANES(RDL4/2012),202292.18,87000.0,289292.18,87000.0
4.0,1100.0,91336.0,DEUDA PUBLICA.- AMORTIZ.PREST.SABADELL(RDL 4/2012),186464.54,,186464.54,
4.0,1100.0,91337.0,DEUDA PUBLICA.- AMORT.PRES.B.MARE NOSTRUM(R4/2012),337325.7,,337325.7,
4.0,1100.0,91338.0,DEUDA PUBLICA.- AMORT.PRES.B.COOP.ESPAÑOL(R4/2012),166663.5,,166663.5,
4.0,1100.0,91339.0,DEUDA PUBLICA.- AMORT.PRES.BANKIA(2012)(SUB.GUMSA),245622.56,,245622.56,675462.03
4.0,1100.0,91340.0,DEUDA PUBLICA.- AMOR.PRES.SABADELL(2012)(SUBGUMSA),88438.36,,88438.36,256750.17
4.0,1100.0,91399.0,D.PCA.- AHORRO COSTES FINAN.CARENCIA PREST.RD4/12,2615490.12,,2615490.12,
7.0,13000.0,12000.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO A1,14677.32,,14677.32,14650.34
