Factura,Nombre o razón social (Tercero),Descripción,Fecha contabilización,Importe factura,Orgánica,Programa,Económica
2019.0003872,CLIMATE KIC HOLDING BV,2019.  TASA ADHESION CLIMATE KIC.,13/06/2019,"15.125,00 €",1,91202,49100
2019.0003273,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"18/04/19. INTERVENCIÓN ARTÍSTICA Y REALIZACIÓN DE TALLER DIDÁCTICO EN LAS INSTALACIONES DEL CEIP MESTRE CANÓS DEL ARTISTA ""YKSUHC"" DENTRO DEL PROYECTO ""12 ARTISTES, 12 ESCOLES"".",03/06/2019,"1.452,00 €",4,32300,227990
2019.0002711,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"12/04/19. PARTICIPACIÓN EN LA CONFERENCIA INAUGURAL ""TOCANDO OTRO MUNDO: LA EXPLORACIÓN DE LA LUNA"" DENTRO DE LAS 27 JORNADES D'ASTRONOMIA CELEBRADAS EN EL PLANETARIO.",23/05/2019,"623,53 €",4,33300,22606
2019.0001295,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,27/02/19. ESTUDIO E INFORME ANTROPOLÓGICO FORENSE DE SIETE ESQUELETOS RECUPERADOS EN EL ANTIGUO CEMENTERIO CIVIL.,20/03/2019,"2.420,00 €",4,33400,22706
2019.0001947,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,26/03/19. AMPLIACIÓN GARANTIA DE LAS PLEGADORAS SELLADORAS DE LA UNIDAD DE ESTADÍSITCA.,15/04/2019,"762,30 €",3,92053,21690
2019.0000647,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,24/01/19. MATERIAL PARA SU USO POR BRIGADAS.,20/03/2019,"107,50 €",5,15350,221990
2019.0002081,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,25/03/19. MATERIAL PARA SU USO POR BRIGADAS.,12/06/2019,"1.175,10 €",5,15350,221990
2018.000883,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,25/12/18. MATERIAL DE FERRETERIA PARA SU USO EN JORNALS DE VILA.,25/01/2019,"39,81 €",4,24130,221990
2018.0008827,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,25/12/18. MATERIAL DE FERRETERIA PARA SU USO POR BRIGADAS.,22/01/2019,"672,70 €",5,15350,221990
2018.0008828,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,25/12/18. MATERIAL DE FERRETERIA PARA SU USO POR JORNALS DE VILA,25/01/2019,"81,40 €",4,24130,221990
