#,_unnamed,_unnamed_2,EJECUCION DE GASTOS  EJERCICIO 2016 A 31-03-16,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6
#,,,,,,,
#ORG.,PROG.,ECON.,DESCRIPCIÓN,CREDITOS INICIALES,MODIFICACI.,CREDITOS DEFINITIVOS,OBLICACIONES RECONOCIDAS
3.0,1100.0,31001.0,DEUDA PUBLICA.- INTERESES DE PRESTAMOS,1281115.1,,1281115.1,215791.04
3.0,1100.0,31002.0,DEUDA PUBLICA.- INTERESES OP.TESORERIA,250000.0,,250000.0,1678.81
3.0,1100.0,31900.0,DEUDA PUBLICA.- OTROS GASTOS FINANCIEROS,50.0,,50.0,0.45
3.0,1100.0,91304.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA  (2007) 100,1150000.0,,1150000.0,287500.0
3.0,1100.0,91305.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA  (2007) 419,2088536.16,,2088536.16,522134.04
3.0,1100.0,91312.0,DEUDA PUBLICA.- AMORTIZ.PREST.SANTAND.BANESTO 2010,1321612.18,,1321612.18,325609.97
3.0,1100.0,91313.0,DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA SABADELL 2010,1100000.0,,1100000.0,275000.0
3.0,1100.0,91315.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA (2008) 110,696647.48,,696647.48,174161.87
3.0,1100.0,91316.0,DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA SABADELL(2008),503352.52,,503352.52,251676.26
3.0,1100.0,91318.0,DEUDA PUBLICA.- AMORTIZ.PREST.SANTANDER (2009)147,1100000.0,,1100000.0,275000.0
3.0,1100.0,91328.0,DEUDA PUBLICA.- AMORTIZ.PREST.BPOPULAR(RDL 4/2012),275641.94,,275641.94,
3.0,1100.0,91329.0,DEUDA PUBLICA.- AMORTIZ.PREST. BBVA(RDL 4/2012),425602.08,,425602.08,
3.0,1100.0,91330.0,DEUDA PUBLICA.- AMORTIZ.PREST.CAIXABANC(RDL4/2012),553907.86,,553907.86,
3.0,1100.0,91331.0,DEUDA PUBLICA.- AMORTIZ.PREST.SANTANDER(RDL4/2012),474116.18,,474116.18,
3.0,1100.0,91332.0,DEUDA PUBLICA.- AMORTIZ.PREST. SAB CAM (RDL4/2012),180879.26,,180879.26,
3.0,1100.0,91333.0,DEUDA PUBLICA.- AMORTIZ.PREST.BANKINTER(RDL4/2012),190325.72,,190325.72,
3.0,1100.0,91334.0,DEUDA PUBLICA.- AMORTIZ.PREST. BANKIA (RDL 4/2012),407990.18,,407990.18,
3.0,1100.0,91335.0,DEUDA PUBLICA.- AMORTIZ.PREST.SAN/BANES(RDL4/2012),196077.9,,196077.9,
3.0,1100.0,91336.0,DEUDA PUBLICA.- AMORTIZ.PREST.SABADELL(RDL 4/2012),186464.54,,186464.54,
3.0,1100.0,91337.0,DEUDA PUBLICA.- AMORT.PRES.B.MARE NOSTRUM(R4/2012),337325.7,,337325.7,
3.0,1100.0,91338.0,DEUDA PUBLICA.- AMORT.PRES.B.COOP.ESPAÑOL(R4/2012),166663.5,,166663.5,
5.0,13000.0,12000.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO A1,14824.09,,14824.09,3360.45
5.0,13000.0,12003.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO C1,19967.38,,19967.38,4363.38
5.0,13000.0,12004.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO C2,59236.59,,59236.59,12710.25
5.0,13000.0,12005.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO E,7725.03,,7725.03,1661.88
5.0,13000.0,12006.0,NEG.ADMIN.SEGURIDAD.- TRIENIOS,14485.13,,14485.13,4453.75
5.0,13000.0,12009.0,NEG.ADMIN.SEGURIDAD.- I.T.BASICAS,100.0,,100.0,
5.0,13000.0,12100.0,NEG.ADMIN.SEGURIDAD.- COMPLEMENTO DE DESTINO,63888.9,,63888.9,13651.68
5.0,13000.0,12101.0,NEG.ADMIN.SEGURIDAD.- COMPLEMENTO ESPECÍFICO,122255.75,,122255.75,26197.77
5.0,13000.0,12103.0,NEG.ADMIN.SEGURIDAD.- I.T.COMPLEM.,100.0,,100.0,
5.0,13000.0,12104.0,NEG.ADMIN.SEGURIDAD.- 49.73% EXTRA 2012,8732.76,,8732.76,4806.45
5.0,13000.0,15000.0,NEG.ADMIN.SEGURIDAD.- PRODUCTIVIDADES,646.71,,646.71,972.2
5.0,13000.0,15100.0,NEG.ADMIN.SEGURIDAD.- GRATIFICACIONES,749.88,,749.88,
5.0,13000.0,16000.0,NEG.ADMIN.SEGURIDAD.- SEGURIDAD SOCIAL,81577.39,,81577.39,20456.2
5.0,13001.0,12001.0,UNID.DIR.SEG. Y SERV.- SUELDOS DEL GRUPO A2,13035.59,,13035.59,2905.71
5.0,13001.0,12003.0,UNID.DIR.SEG. Y SERV.- SUELDOS DEL GRUPO C1,79869.52,,79869.52,17336.23
5.0,13001.0,12006.0,UNID.DIR.SEG. Y SERV.- TRIENIOS,19183.88,,19183.88,5361.84
5.0,13001.0,12009.0,UNID.DIR.SEG. Y SERV.- I.T. BÁSICAS,100.0,,100.0,153.99
