#Ej.,Económ.,Descripción,Previsiones iniciales,Previsiones modificadas,Previsiones definitivas,Derechos reconocidos
2016.0,10000.0,INGR. PROCED. CESIÓN I.R.P.F.,3041237.87,,3041237.87,253516.38
2016.0,10002.0,IRPF PTE 2009,,,,-8793.78
2016.0,10007.0,IRPF PTE 2013,,,,-1735.75
2016.0,11200.0,IBI.NATURALEZA RUSTICA,1278745.6,,1278745.6,-28.31
2016.0,11300.0,IBI.NATURALEZA URBANA,59856245.16,,59856245.16,-22999.79
2016.0,11400.0,IBI CARACTERISTICAS ESPECIALES,8348431.48,,8348431.48,
2016.0,11500.0,IMPTO.VEHICC.TRACC.MECANICA,10700000.0,,10700000.0,-14616.17
2016.0,11600.0,IMPTO.INCREM.VALOR TERRENOS,5000000.0,,5000000.0,8926.64
2016.0,13000.0,IMPTO.ACTIV.ECONOMICAS,7100000.0,,7100000.0,50404.16
2016.0,21000.0,IMPTO.SOBRE VALOR AÑADIDO,2477254.41,,2477254.41,221076.03
2016.0,21001.0,IVA PTE 2008,,,,-4149.16
2016.0,21002.0,IVA PTE 2009,,,,-8565.46
2016.0,21007.0,IVA PTE 2013,,,,-581.89
2016.0,22000.0,IMPTO.SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS,37619.16,,37619.16,3151.13
2016.0,2200002.0,LIQ.ALCOHOL PTE 2009,,,,-60.14
2016.0,22001.0,IMPTO.SOBRE LA CERVEZA,13431.72,,13431.72,1154.15
2016.0,2200102.0,LIQ.IMPTO.SOBRE LA CERVEZA PTE 2009,,,,-1.38
2016.0,22003.0,IMPTO.SOBRE LAS LABORES DEL TABACO,366005.24,,366005.24,30772.92
2016.0,2200302.0,LIQ.IMPTO.SOBRE EL TABACO PTE 2009,,,,-188.92
2016.0,2200307.0,TABACO PTE 2013,,,,-23.76
2016.0,22004.0,IMPTO.SOBRE HIDROCARBUROS,445580.44,,445580.44,37835.9
2016.0,2200402.0,LIQ.IMPTO.SOBRE HIDROCARBUROS PTE 2009,,,,-343.26
2016.0,22006.0,IMPTO.SOBRE PRODUCTOS INTERMEDIOS,814.12,,814.12,67.36
2016.0,2200602.0,LIQ.PRODUC.INTERMED.PTE 2009,,,,-0.98
2016.0,29000.0,IMPTO.CONSTR.INST.Y OBRAS,600000.0,,600000.0,-78222.74
2016.0,30200.0,TASA BASURAS,11000000.0,,11000000.0,48141.52
2016.0,32100.0,LICENCIAS URBANISTICAS,150000.0,,150000.0,3830.96
2016.0,32200.0,TASA LICENCIA OCUPACION,50000.0,,50000.0,
2016.0,32300.0,TASA LIC.APERTURA ESTABLECIMIENTOS,100000.0,,100000.0,-528.19
