#Número registro,Nombre tercero,Descripción,Fecha contable,Importe bruto,Orgánica,Programa,Económica
2013.0000092,"ACUSTICA Y TELECOMUNICACIONES, S.L.","10/12/12. SERVICIO ""ESTUDIO DE EVALUACION AMBIENTAL EN ZONA TASCAS DE CASTELLON""",25/04/2013,"3.630,00 €",6,15125,227060
2013.0001021,PLACIDO GOMEZ SL,2 MALETINES CON RUEDAS PARA EL TRANSPORTE DE EXPEDIENTES EN LAS INSPECCIONES,28/03/2013,"250,50 €",6,15125,22000
2013.0002845,"BRUEL & KJAER IBERICA, S.A.",07/05/13. CALIBRACION DE LOS SONOMETROS,11/07/2013,"480,73 €",6,15125,21300
2013.0002850,"ACUSTICA Y TELECOMUNICACIONES, S.L.",25/02/13. SERVICIOS DE ACTUALIZACION DEL MAPA DE RUIDO Y SEGUIMIENTO Y CONTROL DEL PLAN ACUSTICO MUNICIPAL DE CASTELLON PARA MEDICIONES EN C/ VERA Y C/MAYOR,11/07/2013,"7.260,00 €",6,15125,227060
2013.0006838,"ACUSTICA Y TELECOMUNICACIONES, S.L.","SERVICIO DE UNA RED DE MONITORIZADO DE RUIDO AMBIENTAL EN ZONA ""ZAS"" DE TASCAS",30/12/2013,"20.207,00 €",6,15125,227060
2013.0002620,FIATC MUTUA DE SEGUROS Y REASEGUROS,PÓLIZA SEGURO CON MOTIVO DEL CURSILLO DE MONITOR DE HUERTO DE OCIO.,21/06/2013,"128,09 €",5,24100,226992
2013.0003779,FORO SOCIEDAD Y GESTION PUBLICA SL,PRESTACIÓN DE SERVICIOS FORO DE CIUDADES POR EL EMPLEO.,30/09/2013,"2.904,00 €",5,24100,22706
2013.0006296,"CREAS ID SOCIAL, S.L",ASISTENCIA TÉCNICA PARA DESARROLLO DE ACTIVIDADES DEL GRUPO DE BUENAS PRÁCTICAS DE LA RED RETOS.,30/12/2013,"3.000,00 €",5,24100,226991
2013.0006820,CASMAR 2000 S.A.,EQUIPOS DE PROTECCION INDIVIDUAL PARA ALUMNOS Y PERSONAL DOCENTE DEL TALLER DE EMPLEO V,26/12/2013,"5.217,11 €",5,24100,62300
2013.0006821,"SUMINISTROS SEQUIOL, S.L.L.","MATERIALES FONTANERIA (CODOS,ENLACES ROSCA,RACOR,MANGUITOS, ...) PARA MODULO DE FONTANERIA DEL TALLER DE EMPLEO V",26/12/2013,"4.261,84 €",5,24100,62300
2013.0006822,SERVICIOS ELECTRICOS NAVARRO SA,MATERIAL DISTINTOS GROSORES Y COLORES PARA MODULO DE ELECTRICIDAD DEL TALLER DE EMPLEO V,26/12/2013,"4.872,67 €",5,24100,62300
2013.0006823,CASMAR 2000 S.A.,"MATERIALES Y MAQUINARIA (HORMIGONERA,HIDROLIMPIADORA, CARROS GUIA,ESTRIBOS,LAMPARAS...) PARA MODULO DE CARPINTERIA METALICA DEL TALLER DE EMPLEO V",26/12/2013,"6.624,75 €",5,24100,62300
2013.0000172,TRANSPORTES ALEGRE MONFERRER SL,"DICIEMBRE/12, SERVICIO DE LIMPIEZA Y MANTENIMIENTO DE ACEQUIAS EN CASTELLON. DEC. 04-05-11",04/04/2013,"5.957,07 €",6,17000,22700
2013.0000450,SDAD.CIVIL POZO PEÑA ROCHA,4º TRIMESTRE/12. CONSUMO AGUA PARA RIEGO DE ZONAS AJARDINADAS EN PENYETA ROJA.,25/04/2013,"222,75 €",6,17000,22101
2013.0000651,LA HISPANO DEL CID SA,30/01/13. SERVICIOS DISCRECIONAL DE AUTOBUS PARA ESCOLARES AL GRAO.,25/02/2013,"60,00 €",6,17000,227993
2013.0000928,SPLAI CASTELLO SL,"DISEÑO, MONTAJE Y EJECUCIÓN DE LAS ACTIVIDADES ""DÍA DEL ÁRBOL 2013"".",28/03/2013,"5.000,00 €",6,17000,226050
2013.0001052,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"DISEÑO, PRODUCCIÓN, ORGANIZACIÓN Y PROMOCIÓN DE LA II JORNADA PARA EL FOMENTO DEL SECTOR CITRÍCOLA Y AGRÍCOLA CASTELLONENSE.",28/03/2013,"3.999,05 €",6,17000,22606
2013.0001053,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"TRABAJOS DE CREATIVIDAD, DISEÑO Y PRODUCCIÓN DE CUADRÍPTICO Y CARTEL PARA LA PROMOCIÓN DE LAS ISLAS COLUMBRETES.",28/03/2013,"1.573,00 €",6,17000,227060
2013.0001072,TRANSPORTES ALEGRE MONFERRER SL,"ENERO/13,  SERVICIO DE LIMPIEZA Y MANTENIMIENTO DE ACEQUIAS EN CASTELLON. DEC. 04-05-11",04/04/2013,"5.940,62 €",6,17000,22700
2013.0001091,LIMAC MATERIALES DE CONSTRUCCION SL,MATERIAL DE FONTANERIA PARA SU USO EN LA INSTALACIÓN DE LOS HUERTOS URBANOS EN C/JUAN HERRERA.,28/03/2013,"376,29 €",6,17000,22699
2013.0001245,TRANSPORTES ALEGRE MONFERRER SL,"FEBRERO/13, SERVICIO DE LIMPIEZA Y MANTENIMIENTO DE ACEQUIAS EN CASTELLON. DEC. 04-05-11",22/04/2013,"5.409,91 €",6,17000,22700
