Número registro,Nombre tercero,Descripción,Fecha contable,Importe bruto,Orgánica,Programa,Económica
2017.0000310,"ACUSTICA Y TELECOMUNICACIONES, S.L.",50% A LA PRESENTACION DEL PLAN ACUSTICO MUNICIPAL. TRABAJOS DE REDACCIÓN DEL ESTUDIO ACUSTICO PLAN GENERAL ESTRUCTURAL DE CASTELLÓN Y REVISIÓN DEL PLAN ACUSTICO MUNICIPAL DEC 11/7/2016 Y 02/03/2017.,13/03/17,"14.308,25 €",5,15111,64000
2017.0000694,"COPISTERIA DE CASTELLON, S.L.",23/12/16. COPIAS PLANOS PARA TRAMITAR EXPTE. 125/89 DE ACTIVIDADES.,27/04/17,"2,66 €",5,15121,22000
2017.0002612,"COPISTERIA DE CASTELLON, S.L.",02/05/17. COPIAS PLANOS PROY. REVISIÓN DE UNA ESTRELLA EN EL GRAO DE CASTELLON.,19/06/17,"38,36 €",5,15123,22000
2017.0002613,"COPISTERIA DE CASTELLON, S.L.",10/05/17. COPIAS PLANOS PARA EL NEG. ACTIVIDADES.,19/06/17,"6,53 €",5,15123,22000
2017.0002614,"COPISTERIA DE CASTELLON, S.L.",03/04/17. COPIAS PLANOS PARA EL NEG. ACTIVIDADES.,19/06/17,"3,99 €",5,15123,22000
2017.0002652,"INGENIERIA DE GESTION INDUSTRIAL, S.L.",16/05/17. VERIFICACIÓN DE DOS SONÓMETROS Y UN CALIBRADOR PARA REALIZAR MEDICIONES ACÚSTICAS POR RECLAMACIONES VECINALES DE MOLESTIAS POR RUIDOS.,19/06/17,"691,97 €",5,17210,21300
2017.0003404,"LABACUSTIC, S.L",25/06/17. INSTALACION DE SONOMETROS PARA LAS MEDICIONES DE LOS NIVELES ACUSTICOS DE LA ZONA ZAS DE TASCAS S/DEC 6/02/2017,21/07/17,"16.335,00 €",5,17210,227060
2017.0004449,"COPISTERIA DE CASTELLON, S.L.",31/07/17. COPIAS PLANOS PARA ACTIVIDADES.,04/09/17,"11,01 €",5,15123,22000
2017.0004450,"COPISTERIA DE CASTELLON, S.L.",30/06/17 .PLANOS A2 PARA ACTIVIDADES,04/09/17,"2,66 €",5,15123,22000
2017.0004452,"COPISTERIA DE CASTELLON, S.L.",21/07/17. PLANOS Y COPIAS PARA ACTIVIDADES,04/09/17,"7,62 €",5,15123,22000
2017.0004453,"COPISTERIA DE CASTELLON, S.L.",31/07/17. COPIAS PLANOS PARA ACTIVIDADES,04/09/17,"9,50 €",5,15123,22000
2017.0004454,"COPISTERIA DE CASTELLON, S.L.",31/07/17. PROYECTO PARA ACTIVIDAD DE LUDOTECA PARA ACTIVIDADES,04/09/17,"13,67 €",5,15123,22000
2017.0004277,RADIO CASTELLON SA,31/07/17. CUÑA ACTIVIDADES EN LA PLAYA,06/10/17,"2.902,19 €",1,92070,22602
2017.0004278,RADIO CASTELLON SA,31/07/07. CUÑA PUBLICITARIA BAUTISMO DEL MAR,06/10/17,"4.797,65 €",1,92070,22602
