#ORG.,PROG.,ECON.,DESCRIPCIÓN,CREDITOS INICIALES,MODIFICACI.,CREDITOS DEFINITIVOS,OBLICACIONES RECONOCIDAS
3.0,01100,31001.0,DEUDA PUBLICA.- INTERESES DE PRESTAMOS,1114907.81,0.0,1114907.81,1056932.15
3.0,01100,31002.0,DEUDA PUBLICA.- INTERESES OP.TESORERIA,100000.0,0.0,100000.0,839.24
3.0,01100,31900.0,DEUDA PUBLICA.- OTROS GASTOS FINANCIEROS,50.0,0.0,50.0,1099.68
3.0,01100,91304.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA  (2007) 100,1150000.0,0.0,1150000.0,1150000.0
3.0,01100,91305.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA  (2007) 419,2088536.16,0.0,2088536.16,2088536.16
3.0,01100,91312.0,DEUDA PUBLICA.-  AMORTIZ. PRÉST. B. SANTANDER (BAN.) 470,0.0,0.0,0.0,680291.55
3.0,01100,91313.0,"DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA CREDIT LOCAL, S.A. 2010",1100000.0,0.0,1100000.0,1100000.0
3.0,01100,91315.0,DEUDA PUBLICA.- AMORTIZ.PREST.BBVA (2008) 110,696647.48,0.0,696647.48,696647.5
3.0,01100,91316.0,"DEUDA PUBLICA.- AMORTIZ.PREST.DEXIA CREDIT LOCAL, S.A.(2008)",503352.52,0.0,503352.52,503352.52
3.0,01100,91328.0,DEUDA PUBLICA.- AMORTIZ.PREST.BPOPULAR(RDL 4/2012),551283.88,0.0,551283.88,3583345.31
3.0,01100,91329.0,DEUDA PUBLICA.- AMORTIZ.PREST. BBVA(RDL 4/2012),851204.16,0.0,851204.16,851204.16
3.0,01100,91330.0,DEUDA PUBLICA.- AMORTIZ.PREST.CAIXABANC(RDL4/2012),1107815.72,0.0,1107815.72,1107815.72
3.0,01100,91331.0,DEUDA PUBLICA.- AMORTIZ.PREST.SANTANDER(RDL4/2012),948232.36,0.0,948232.36,948232.32
3.0,01100,91332.0,DEUDA PUBLICA.- AMORTIZ.PREST. SAB CAM (RDL4/2012),361758.52,0.0,361758.52,361758.52
3.0,01100,91333.0,DEUDA PUBLICA.- AMORTIZ.PREST.BANKINTER(RDL4/2012),380651.44,0.0,380651.44,2474234.4
3.0,01100,91334.0,DEUDA PUBLICA.- AMORTIZ.PREST. BANKIA (RDL 4/2012),815980.36,0.0,815980.36,815980.36
3.0,01100,91335.0,DEUDA PUBLICA.- AMORTIZ.PREST.SAN/BANES(RDL4/2012),388309.67,0.0,388309.67,388309.64
3.0,01100,91336.0,DEUDA PUBLICA.- AMORTIZ.PREST.SABADELL(RDL 4/2012),372929.12,0.0,372929.12,2424039.12
3.0,01100,91337.0,DEUDA PUBLICA.- AMORT.PRES.B.MARE NOSTRUM(R4/2012),674651.4,0.0,674651.4,4385234.02
3.0,01100,91338.0,DEUDA PUBLICA.- AMORT.PRES.B.COOP.ESPAÑOL(R4/2012),333327.0,0.0,333327.0,2082860.14
3.0,01100,91341.0,D.PCA.- AMORT.ANTIC.PREST.SUPERAVIT 2016,0.0,13317161.72,13317161.72,0.0
5.0,13000.0,12000.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO A1,14824.09,0.0,14824.09,6940.4
5.0,13000.0,12003.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO C1,19967.38,0.0,19967.38,20073.6
5.0,13000.0,12004.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO C2,67698.96,0.0,67698.96,59454.08
5.0,13000.0,12005.0,NEG.ADMIN.SEGURIDAD.- SUELDOS DEL GRUPO E,7725.03,0.0,7725.03,8066.75
5.0,13000.0,12006.0,NEG.ADMIN.SEGURIDAD.- TRIENIOS,17182.46,0.0,17182.46,15614.15
5.0,13000.0,12009.0,NEG.ADMIN.SEGURIDAD.- I.T.BASICAS,100.0,0.0,100.0,84.22
5.0,13000.0,12100.0,NEG.ADMIN.SEGURIDAD.- COMPLEMENTO DE DESTINO,63888.9,0.0,63888.9,58675.93
5.0,13000.0,12101.0,NEG.ADMIN.SEGURIDAD.- COMPLEMENTO ESPECÍFICO,122255.75,0.0,122255.75,133576.06
5.0,13000.0,12103.0,NEG.ADMIN.SEGURIDAD.- I.T.COMPLEM.,100.0,0.0,100.0,0.29
5.0,13000.0,12104.0,NEG.ADMIN.SEGURIDAD.- Incremento 1% LGPE 2017,0.0,6341.67,6341.67,21.96
5.0,13000.0,15000.0,NEG.ADMIN.SEGURIDAD.- PRODUCTIVIDADES,1838.54,0.0,1838.54,1893.0
5.0,13000.0,15100.0,NEG.ADMIN.SEGURIDAD.- GRATIFICACIONES,100.0,0.0,100.0,0.0
5.0,13000.0,16000.0,NEG.ADMIN.SEGURIDAD.- SEGURIDAD SOCIAL,81577.39,0.0,81577.39,84101.48
5.0,13001.0,12001.0,UNID.DIR.SEG. Y SERV.- SUELDOS DEL GRUPO A2,13035.59,0.0,13035.59,13682.82
5.0,13001.0,12003.0,UNID.DIR.SEG. Y SERV.- SUELDOS DEL GRUPO C1,79869.52,0.0,79869.52,75474.16
5.0,13001.0,12006.0,UNID.DIR.SEG. Y SERV.- TRIENIOS,21414.52,0.0,21414.52,21033.8
5.0,13001.0,12009.0,UNID.DIR.SEG. Y SERV.- I.T. BÁSICAS,100.0,0.0,100.0,6540.96
5.0,13001.0,12100.0,UNID.DIR.SEG. Y SERV.- COMPLEMENTO DE DESTINO,59408.79,0.0,59408.79,55981.13
5.0,13001.0,12101.0,UNID.DIR.SEG. Y SERV.- COMPLEMENTO ESPECÍFICO,146896.06,0.0,146896.06,155305.54
5.0,13001.0,12103.0,UNID.DIR.SEG. Y SERV.- IT.COMPLEM.,100.0,0.0,100.0,79.47
5.0,13001.0,15000.0,UNID.DIR.SEG. Y SERV.- PRODUCTIVIDADES,13821.65,0.0,13821.65,12398.52
5.0,13001.0,15100.0,UNID.DIR.SEG. Y SERV.- GRATIFICACIONES,5860.91,0.0,5860.91,4900.2
5.0,13001.0,16000.0,UNID.DIR.SEG. Y SERV.- SEGURIDAD SOCIAL,90992.33,0.0,90992.33,90199.9
5.0,13200.0,12000.0,POLICIA LOCAL.- SUELDOS DEL GRUPO A1,59296.36,0.0,59296.36,41867.2
5.0,13200.0,12001.0,POLICIA LOCAL.- SUELDOS DEL GRUPO A2,221604.95,0.0,221604.95,230772.69
5.0,13200.0,12003.0,POLICIA LOCAL.- SUELDOS DEL GRUPO C1,2605742.68,-21863.33,2583879.35,2529848.38
5.0,13200.0,12006.0,POLICIA LOCAL.- TRIENIOS,530952.73,0.0,530952.73,555052.29
5.0,13200.0,12009.0,POLICIA LOCAL.- I.T. BASICAS,100.0,0.0,100.0,65573.33
5.0,13200.0,12100.0,POLICIA LOCAL.- COMPLEMENTO DE DESTINO,1816626.89,0.0,1816626.89,1707987.52
5.0,13200.0,12101.0,POLICIA LOCAL.- COMPLEMENTO ESPECÍFICO,4148661.72,0.0,4148661.72,4170382.02
5.0,13200.0,12103.0,POLICIA LOCAL.- I.T. COMPLEMENTARIAS,100.0,0.0,100.0,481.7
5.0,13200.0,12104.0,UNIDAD APOYO.- Incremento 1% LGPE 2017,0.0,105449.83,105449.83,586.22
5.0,13200.0,15000.0,POLICIA LOCAL.- PRODUCTIVIDADES,434723.35,0.0,434723.35,456699.02
5.0,13200.0,15100.0,POLICIA LOCAL.- GRATIFICACIONES,237119.68,0.0,237119.68,253594.59
5.0,13200.0,16000.0,POLICIA LOCAL.- SEGURIDAD SOCIAL,2703333.86,-50000.0,2653333.86,2694532.73
5.0,13200.0,16200.0,POLICIA LOCAL.- FORMACIÓN EXTERNA (ESPAC 5.3),3000.0,0.0,3000.0,0.0
5.0,13200.0,16205.0,POLICIA LOCAL.- SEGUROS,10000.0,0.0,10000.0,0.0
5.0,13200.0,20601.0,UNID.APOYO.- SIST INTEGRAL GESTIÓN SALA EMERGENCIAS,166885.11,-112547.0,54338.11,28306.29
5.0,13200.0,21300.0,UNID.APOYO.- MANTENIMIENTO DE EMISORAS,21780.0,0.0,21780.0,18954.06
5.0,13200.0,21302.0,UNID.APOYO.- MANTENIMIENTO INSTALACIONES ESPAC,2400.0,0.0,2400.0,484.0
5.0,13200.0,21400.0,UNID.APOYO.- MANTENIMIENTO VEHICULOS PARQUE INFANT,6800.0,0.0,6800.0,0.0
5.0,13200.0,220000.0,UNID.APOYO.- MATERIAL IMPRENTA PARQUE INFANTIL (ESPAC 5.10),2000.0,0.0,2000.0,3850.02
5.0,13200.0,220001.0,UNID.APOYO.- MATERIAL OFICINA ESPAC,2000.0,0.0,2000.0,239.8
5.0,13200.0,22001.0,UNID.APOYO.- LIBROS (ESPAC 5.6),500.0,0.0,500.0,195.0
5.0,13200.0,221990.0,UNID.APOYO.- SUMINISTROS ESPAC (5.8),800.0,0.0,800.0,106.29
5.0,13200.0,221991.0,UNID.APOYO.- SUMINISTROS PARQUE INFANTIL (ESPAC 5),250.0,0.0,250.0,0.0
5.0,13200.0,22400.0,UNID.APOYO.- SEGURO PARQUE INFANTIL (ESPAC 5.10),800.0,0.0,800.0,785.02
5.0,13200.0,226011.0,UNID.APOYO.- PROTOCOLO PARQUE INFAN. (ESPAC 5.10),2000.0,0.0,2000.0,0.0
5.0,13200.0,226020.0,UNID.APOYO.- MARKETING ESPAC (5.9),2000.0,0.0,2000.0,1170.07
5.0,13200.0,22606.0,UNID.APOYO.- FORMACIÓN CONTÍNUA (ESPAC 5.3),28000.0,0.0,28000.0,7380.87
5.0,13200.0,227060.0,UNID.APOYO.- DIAGNÓSTICO CONVIVENCIA,21780.0,0.0,21780.0,0.0
5.0,13200.0,227061.0,UNIDAD DE APOYO - ESTUDIOS Y TRABAJOS TECNICOS,0.0,0.0,0.0,7260.0
5.0,13200.0,227990.0,UNID.APOYO.- TRABAJOS DIVERSOS PQ INFANTIL (ESPAC 5.10),7000.0,0.0,7000.0,1372.91
5.0,13200.0,45390.0,CONVENIO  UJI(CATEDRA PREV.DELITO),17000.0,0.0,17000.0,0.0
5.0,13200.0,48100.0,PREMIOS ESCOLAR EDUCACION VIAL,3000.0,0.0,3000.0,0.0
5.0,13200.0,48900.0,CUOTA FORUM ESPAÑOL PARA LA PREVENCIÓN Y SEGURIDAD URBANA,0.0,3850.0,3850.0,3735.0
5.0,13201.0,12000.0,GRUPO FORM. ESPAC.- SUELDOS GRUPO A1,14824.09,0.0,14824.09,6090.62
5.0,13201.0,12001.0,GRUPO FORM. ESPAC.- SUELDOS GRUPO A2,39106.77,0.0,39106.77,30052.57
5.0,13201.0,12006.0,GRUPO FORM. ESPAC.- TRIENIOS,24116.35,0.0,24116.35,18239.98
5.0,13201.0,12009.0,GRUPO FORM. ESPAC.- I.T.BASICAS,100.0,0.0,100.0,11180.03
5.0,13201.0,12100.0,GRUPO FORM. ESPAC.-COMPLEMENTO DESTINO,26894.57,0.0,26894.57,17019.44
5.0,13201.0,12101.0,GRUPO FORM. ESPAC.- COMPLEM.ESPECIFICO,83834.27,0.0,83834.27,53368.92
5.0,13201.0,12103.0,GRUPO FORM. ESPAC.- I.T.COMPLEMENT.,100.0,0.0,100.0,1.86
5.0,13201.0,15000.0,GRUPO FORM. ESPAC.- PRODUCTIVIDAD,136.42,0.0,136.42,0.0
5.0,13201.0,15100.0,GRUPO FORM. ESPAC.- GRATIFICACIONES,100.0,0.0,100.0,0.0
5.0,13201.0,16000.0,GRUPO FORM. ESPAC.- SEG.SOCIAL,46071.67,0.0,46071.67,31770.68
5.0,13220.0,62300.0,MATERIAL TÉCNICO(SEG.CIUDADANA),18180.0,82547.0,100727.0,96307.8
5.0,13230.0,20400.0,LOGIST.- RENTING 36 VEHICULOS (3.1),433509.0,0.0,433509.0,407217.08
5.0,13230.0,21300.0,LOGIST.- MANTENIMIENTO LOGÍSTICA (3.1),7500.0,0.0,7500.0,2075.04
5.0,13230.0,21400.0,LOGIST.- MANTENIMIENTO PARQUE MÓVIL (3.1),48087.0,0.0,48087.0,17331.68
5.0,13230.0,22000.0,LOGIST.- MATERIAL  DE OFICINA (3.1),8000.0,0.0,8000.0,4999.85
5.0,13230.0,22103.0,LOGIST.- SUMINISTRO DE COMBUSTIBLES AUTOMOCIÓN,142350.0,0.0,142350.0,94163.38
5.0,13230.0,221041.0,LOGIST.- VESTUARIO (4.2),132600.0,0.0,132600.0,128492.51
5.0,13230.0,22110.0,LOGIST.-SUMINISTROS PRODUCTOS LIMPIEZA,1500.0,0.0,1500.0,597.26
5.0,13230.0,221990.0,LOGIST.- OTROS SUMINISTROS (3.1),50280.0,-1000.0,49280.0,32760.49
5.0,13230.0,221991.0,LOGIST.- SUMINISTRO TIRO (2.3),17000.0,0.0,17000.0,12757.05
5.0,13230.0,22201.0,LOGIST.- COMUNICACIONES POSTALES (3.1),600.0,0.0,600.0,256.54
5.0,13230.0,22300.0,LOGIST.- TRANSPORTES (3.1),1500.0,0.0,1500.0,1016.4
5.0,13230.0,22400.0,LOGIST.- SEGURO DE VEHÍCULOS,16741.67,0.0,16741.67,16943.77
5.0,13230.0,22601.0,LOGIST.- ATENCIONES PROTOCOLARIAS (3.1),4250.0,-350.0,3900.0,6000.0
5.0,13230.0,226990.0,LOGIST.- GASTOS DE REPRESENTACION,1750.0,0.0,1750.0,660.15
5.0,13230.0,22706.0,LOGIST.-ESTUDIOS Y TRABAJOS TÉCNICOS,0.0,0.0,0.0,479.99
5.0,13230.0,22799.0,LOGIST.-TRABAJOS OTRAS EMPRESAS,0.0,0.0,0.0,8516.55
5.0,13230.0,62300.0,MATERIAL TÉCNICO(SEG.Y LOGISTICA),21780.0,0.0,21780.0,23186.1
5.0,13230.0,62700.0,UNIDAD CANINA POLICIA,0.0,12780.0,12780.0,12550.0
