#Ej.,Económ.,Descripción,Previsiones iniciales,Previsiones modificadas,Previsiones definitivas,Derechos reconocidos
2015.0,10000.0,INGR.PROCED.CESION I.R.P.F.,3056740.0,,3056740.0,2388657.6
2015.0,10002.0,IRPF PTE 2009,,,,-39572.01
2015.0,11200.0,IBI.NATURALEZA RUSTICA,1264728.75,,1264728.75,1162566.97
2015.0,11300.0,IBI.NATURALEZA URBANA,60184450.05,,60184450.05,60946885.84
2015.0,11400.0,IBI CARACTERISTICAS ESPECIALES,7570290.3,,7570290.3,7589236.59
2015.0,11500.0,IMPTO.VEHICC.TRACC.MECANICA,10800000.0,,10800000.0,10661483.5
2015.0,11600.0,IMPTO.INCREM.VALOR TERRENOS,5000000.0,,5000000.0,4187837.25
2015.0,13000.0,IMPTO.ACTIV.ECONOMICAS,7300000.0,,7300000.0,6863043.75
2015.0,21000.0,IMPTO.SOBRE VALOR AÑADIDO,2763220.0,,2763220.0,2179964.34
2015.0,21001.0,IVA PTE 2008,,,,-18671.22
2015.0,21002.0,IVA PTE 2009,,,,-38544.57
2015.0,22000.0,IMPTO.SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS,35000.0,,35000.0,28947.5
2015.0,2200002.0,LIQ.ALCOHOL PTE 2009,,,,-270.63
2015.0,22001.0,IMPTO.SOBRE LA CERVEZA,13170.0,,13170.0,10174.94
2015.0,2200102.0,LIQ.IMPTO.SOBRE LA CERVEZA PTE 2009,,,,-6.21
2015.0,22003.0,IMPTO.SOBRE LAS LABORES DEL TABACO,334640.0,,334640.0,253043.1
2015.0,2200302.0,LIQ.IMPTO.SOBRE EL TABACO PTE 2009,,,,-850.14
2015.0,22004.0,IMPTO.SOBRE HIDROCARBUROS,465470.0,,465470.0,408529.99
2015.0,2200402.0,LIQ.IMPTO.SOBRE HIDROCARBUROS PTE 2009,,,,-1544.67
2015.0,22006.0,IMPTO.SOBRE PRODUCTOS INTERMEDIOS,790.0,,790.0,798.96
2015.0,2200602.0,LIQ.PRODUC.INTERMED.PTE 2009,,,,-4.41
2015.0,29000.0,IMPTO.CONSTR.INST.Y OBRAS,750000.0,,750000.0,409800.88
2015.0,30200.0,TASA BASURAS,11200000.0,,11200000.0,10934372.79
2015.0,32100.0,LICENCIAS URBANISTICAS,90000.0,,90000.0,218153.64
2015.0,32200.0,TASA LICENCIA OCUPACION,50000.0,,50000.0,34737.98
2015.0,32300.0,TASA LIC.APERTURA ESTABLECIMIENTOS,175000.0,,175000.0,151847.63
2015.0,32500.0,TASA EXPEDICION DOCUMENTOS,30000.0,,30000.0,20219.47
2015.0,32900.0,TASA DERECHOS EXAMEN,100.0,,100.0,4883.88
2015.0,32901.0,TASA MATRIMONIOS CIVILES,25000.0,,25000.0,21806.5
2015.0,32903.0,TASA PLANETARIO,30000.0,,30000.0,25118.0
2015.0,32904.0,TASA SERVICIO SEGURIDAD PÚBLICA,75000.0,,75000.0,79360.35
2015.0,32905.0,TASAS MERCADOS ORDINARIOS,65000.0,,65000.0,62779.2
2015.0,33100.0,TASA ENTRADA VEHICULOS (VADOS),1950000.0,,1950000.0,1931099.73
2015.0,33200.0,"TASA EXPLOT.STROS.VUELO, SUELO Y SUBSUELO",3300000.0,,3300000.0,2660639.21
2015.0,33500.0,TASA OVP. MESAS Y SILLAS,550000.0,,550000.0,551100.49
2015.0,33900.0,TASA.OVP. MERCADOS EXTRAORDINARIOS,95000.0,,95000.0,101559.46
2015.0,33901.0,"TASA OVP(CABINAS,CAJEROS,PUESTOS,CONTEN.Y OTRAS)",175000.0,,175000.0,195566.97
2015.0,34200.0,PRECIOS PÚBLICOS ESCOLA DE MATÍ,85000.0,,85000.0,91144.02
2015.0,34401.0,PRECIOS PÚBLICOS PÉRGOLA MUNICIPAL,5000.0,,5000.0,1592.67
2015.0,34500.0,PRECIOS PÚBLICOS. BICICAS,,,,1003.74
2015.0,34901.0,"OTROS P.PCOS.CIUDADANIA(JUV.,CULT.,3 EDAD.TEMPS.)",42000.0,,42000.0,30999.69
2015.0,36000.0,VENTAS.MATERIAL DE DESECHO VEHÍCULOS,35000.0,,35000.0,27572.76
2015.0,36001.0,"VENTAS.PUBLICACIONES, PLANOS, CD",2000.0,,2000.0,1397.35
2015.0,38001.0,"EJEC INCAUT- GARANTÍAS URB  ""JARDINES DE CASTALIA, S.A."" UE 49 Y 55 UE-R",,203051.38,203051.38,203051.38
2015.0,38900.0,REINTEGRO PAGOS PTOS.CERRADOS,10000.0,,10000.0,22388.02
2015.0,38902.0,DEVOLUCIÓN CÉNTIMO SANITARIO,,,,22911.32
2015.0,39100.0,MULTAS POR INFRACCIONES URBANÍSTICAS,100000.0,,100000.0,33996.01
2015.0,39110.0,MULTAS POR INFRACCIONES FISCALES,30000.0,,30000.0,42756.58
2015.0,39120.0,MULTAS CIRCULACION,900000.0,,900000.0,597491.09
2015.0,39190.0,MULTAS Y SANCIONES POR ORDENANZA,175000.0,,175000.0,99684.73
2015.0,39192.0,MULTAS COERCITIVAS. EJECUCIONES SUBSIDIA,100.0,,100.0,9334.54
2015.0,39210.0,RECARGO EJECUTIVO 5%,,,,64339.47
2015.0,39211.0,RECARGO DE APREMIO 10% Y 20%,1020877.88,,1020877.88,778615.6
2015.0,39300.0,INTERESES DEMORA,400000.0,,400000.0,285024.6
2015.0,39611.0,CUOTAS URBANIZACION LA GALERA,100.0,,100.0,
2015.0,39612.0,CUOTAS URBANIZ.ALCANTARILLADO LOS ANGELE,100.0,,100.0,
2015.0,39613.0,CUOTAS URB.O6-UE-R (ENTORNO COL.SOLER I GODES),100.0,,100.0,
2015.0,39615.0,CUOTAS URBANIZACION 55-UE-R,100.0,,100.0,
2015.0,39616.0,CUOTAS URBANIZACION 15-UE-R,100.0,,100.0,
2015.0,39617.0,CUOTAS URBANIZACION 81-UE-R,100.0,,100.0,
2015.0,39618.0,CUOTAS URBANIZACION 36-UE-R,100.0,,100.0,
2015.0,39702.0,DECLARACION INTERES COMUNITARIO,,,,17047.06
2015.0,39900.0,RECURSOS EVENTUALES,1000.0,,1000.0,1706.1
2015.0,39901.0,IMPREVISTOS,20000.0,,20000.0,14193.52
2015.0,39902.0,REINTEGRO PARTICULARES ANUNCIOS,5000.0,,5000.0,8261.08
2015.0,39903.0,COMPENSACION SERVICIO EXTINCION INCENDIOS,610223.5,,610223.5,601899.56
2015.0,39904.0,"RECOGIDA SELECTIVA ENVASES, PAPEL Y VIDRIO",370000.0,,370000.0,373411.96
2015.0,39905.0,EJECUCIONES SUBSIDIARIAS,60000.0,,60000.0,-10154.37
2015.0,39906.0,DAÑOS (INDEMNIZACIONES),50000.0,,50000.0,23402.22
2015.0,39907.0,COSTAS RECAUDACION EJECUTIVA,2000.0,,2000.0,13037.12
2015.0,420100.0,FONDO COMPLEMENTARIO FINANCIACION,28617030.0,,28617030.0,23484869.64
2015.0,42011.0,FONDO COMPLEMENTARIO DE FINANCIAC.2008,,,,-83033.6
2015.0,42012.0,FONDO COMPLEMENTARIO DE FINANCIAC.2009,,,,-341432.57
2015.0,420901.0,T.CTES.ESTADO TRANSPORTE URBANO,237027.97,,237027.97,
2015.0,420902.0,T.CTES ESTADO JAC,11216.03,,11216.03,
2015.0,420903.0,T.CTES.ESTADO DROGODEPENDENCIAS (Mº SANI,34741.0,,34741.0,34284.0
2015.0,420904.0,OTRAS TRANSFER. CTES ELECCIONES MUNICIPALES,,,,4735.22
2015.0,421000.0,T.CTES.ESTADO ( SPEE),64399.38,28324.61,92723.99,
2015.0,421900.0,T.CTES. ESTADO DEL INE,1500.0,,1500.0,1887.82
2015.0,450021.0,T.CTES.G.V.SERV.SOC.DROGODEPENDENCIAS,80000.0,,80000.0,51000.0
2015.0,450022.0,T.CTES.G.V.SERV.SOC.SERV.ATENCION DEPEN,112740.0,20788.0,133528.0,81172.8
2015.0,450023.0,T.CTES.G.V.SERV.SOC.AGOGIMIENTO FAMILIAR,41062.5,24232.5,65295.0,64561.5
2015.0,450024.0,T.CTES.G.V.SERV.SOC.SEAFI,53496.0,,53496.0,32097.6
2015.0,450025.0,T.CTES.G.V.SERV.SOCIALES GRALES.,693670.0,,693670.0,416202.0
2015.0,450026.0,T.CTES.G.V.SERV.SOC.INTEGRACION PUEBLO G,6330.0,6330.0,12660.0,7596.0
2015.0,450027.0,T.CTES.G.V.SERV.SOC.AULAS TERCERA EDAD,8394.0,,8394.0,
2015.0,450028.0,T.CTES.G.V.FINAN.GTS CORRIENTES AMICS,13684.93,,13684.93,14717.7
2015.0,450029.0,T.CTES.G.V.NECES.MENOR VERANO ( T.ESPLAI,38700.0,,38700.0,29975.85
2015.0,450301.0,T.CTES.V.ESCUELA INF.LOS DUENDES,22480.0,,22480.0,1963.83
2015.0,450302.0,T.CTES.G.V.PROMOCION USO VALENCIANO,1761.11,,1761.11,
2015.0,450501.0,T.CTES.G.V.EMPLEO SERVEF (SALARIO JOVEN),15537.63,51442.75,66980.38,
2015.0,450502.0,T.CTES.G.V.- ESCUELA TALLER CIUDAD SOLID.,,,,-11747.75
2015.0,450503.0,"TRANSF.CTES.GEN.VAL.-PROGRAMA FORMAC.DESEMPL.""ACTIV.VIVEROS,JARDINES""Y""LIMPIEZA INST.INDUSTR""",,32148.46,32148.46,38982.99
2015.0,450504.0,T.CTES.GV TALLER EMPLEO CIUDAD DE LA SOLIDARIDAD V,,,,-9401.24
2015.0,450505.0,T.CTES.G.V.TALLER EMPLEO CIUDAD DE LA SOLIDARIDAD VI,,177018.46,177018.46,
2015.0,450601.0,T.CTES.G.V.COMERCIO Y ARTESANIA (AFIC),14560.0,,14560.0,
2015.0,450602.0,T.CTES.G.V.FONDOS BIBLIOGRAFICOS,10826.98,,10826.98,
2015.0,450603.0,T.CTES.G.V.COMPENSACION FINANCIERA 2013 (AVT),,,,1620.77
2015.0,450604.0,T.CTES.G.V.SERV.MANT.CENTRO ASISTENC. AMBULAT,,,,8247.5
2015.0,450801.0,"T. CTES.G.V.OMIC,JAC,CENTRO REC.CONSUMO",21600.0,,21600.0,
2015.0,450802.0,T.CTES.G.V.ACTIV.MUSICALES,2000.0,,2000.0,
2015.0,453010.0,T.CTES.EPSAR COMPENS.COSTES BOMBEOS,300000.0,,300000.0,206735.57
2015.0,453020.0,T.CTES.EPSAR ( EXPL.EDAR BOMBEOS Y COL.G,3157500.0,,3157500.0,
2015.0,461000.0,DIP. CONVENIO SEGURIDAD,134792.92,,134792.92,
2015.0,461001.0,TRANSF.DIPUTACION ACTIVIDADES CULTURALES,5000.0,,5000.0,
2015.0,461002.0,T.CTES.DIP.FOMENTO SECTOR PESQUERO,5600.0,,5600.0,
2015.0,461004.0,T.CTES.DIP.BECAS PRÁCT.FORMAC.ESTUD.,,,,2240.0
2015.0,461006.0,T.CTES.DIP.BECA DISCAPACIDAD,,,,1000.0
2015.0,461007.0,T.CTES.DIP. EQUIPAMIENTO LOCALES 3ª EDAD,,,,-318.0
2015.0,461008.0,T.CTES.DIP.CAMPAÑAS CONTROL MOSCAS Y MOSQUITOS,,,,828.67
2015.0,461009.0,T.CTES. DIP. BECAS VIOLENCIA GÉNERO,,2000.0,2000.0,2000.0
2015.0,461010.0,"APORT.DIPUT.Y G.V. AL""PLAN EMPLEO CONJUNTO 2014""",,,,-4294.53
2015.0,470000.0,T.CTES.EMPRESAS PRIVADAS,3000.0,,3000.0,141.6
2015.0,470001.0,"T.CTES. CONVENIO ""BANKIA S.A.""",,15000.0,15000.0,20000.0
2015.0,480000.0,T.CTES.FAMILIAS E INST.SIN FINES LUCRO,20000.0,,20000.0,600.0
2015.0,480002.0,T.CTES.FEMP NUTRICION Y HABITOS HIGIENICOS,,,,
2015.0,49703.0,T.CTES.FEDER CERURBIS,,,,92.37
2015.0,52000.0,INTERESES DEPOSITOS,50000.0,,50000.0,10423.0
2015.0,53410.0,DIVIDENDO PARTICIPACION Bº EMPRESARIAL,15000.0,,15000.0,
2015.0,54100.0,ARRENDAMIENTOS FINCAS URBANAS,5000.0,,5000.0,3159.7
2015.0,54900.0,TRASPASO LOCALES DE NEGOCIO,25000.0,,25000.0,15443.38
2015.0,55000.0,CONCESIONES ADVAS,900000.0,,900000.0,1353361.19
2015.0,60000.0,ENAJENACION BIENES PATRIMONIALES,537077.08,,537077.08,
2015.0,60300.0,ENAJENACIONES INVERSIONES REALES (PMS),962922.92,,962922.92,
2015.0,75060.0,T.CAP.G.V.REHAB.EDIFICIO HACIENDA,2400000.0,,2400000.0,464064.61
2015.0,75061.0,T.CAP.G.V.CIUDAD DEL DEPORTE,,,,71716.1
2015.0,75066.0,T.CAP G.V.PALAU DE LA FESTA,,,,25000.0
2015.0,75074.0,T.CAP.G.V. 1ªTRAVESSERA,,53490.5,53490.5,
2015.0,75075.0,T.CAP.G.V.ALCANTARILLADO 1ªTRAV.MARJALERIA (2ª FASE),,709439.5,709439.5,
2015.0,75400.0,T.CAP.CONSELL.EDUC.CULT.Y DEP.REMOD.GAETA HUGUET,2971262.43,,2971262.43,2834424.26
2015.0,76101.0,T.CAP.DIPUTACION PROVINCIAL POYS,10544.63,,10544.63,7094.56
2015.0,76104.0,"T.CAP.DIPUTACIÓN ""EFIC.ENERG. ALUMBRADO PÚBLICO""",,,,30000.0
2015.0,76105.0,"T.CAP.DIPUTACION ""EQUIPAMIENTO LOCALES 3ªEDAD""",,8533.69,8533.69,
2015.0,79003.0,T.CAP.PROYECTO EUROPEO TRANSITION CITIES,100000.0,,100000.0,
2015.0,79100.0,T.CAP.FEDER-POL 2000-2006(PINAR-RAFALAFENA),,,,409512.36
2015.0,83001.0,REINTEGRO DE ANTICIPOS AL PERSONAL,175000.0,,175000.0,107758.8
2015.0,87010.0,PARA GASTOS CON FINANCIACIÓN AFECTADA,,2231146.26,2231146.26,
