#Número registro,Nombre tercero,Descripción,Fecha contable,Importe bruto,Orgánica,Programa,Económica,Unnamed: 4
2015.0000292,"COPISTERIA DE CASTELLON, S.L.",10/11/2014. FOTOCOPIAS PLANOS PARA ACTIVIDADES.,30/04/2015,"22,87 €",6,15113,22000,
2015.0000290,"COPISTERIA DE CASTELLON, S.L.",11/11/2014. FOTOCOPIAS PLANOS PARA ACTIVIDADES.,30/04/2015,"4,66 €",6,15113,22000,
2015.0000289,"COPISTERIA DE CASTELLON, S.L.",17/12/2014. FOTOCOPIAS PLANOS PARA ACTIVIDADES.,30/04/2015,"7,02 €",6,15113,22000,
2015.0000291,"COPISTERIA DE CASTELLON, S.L.",28/11/2014. FOTOCOPIAS PLANOS PARA ACTIVIDADES.,11/06/2015,"8,23 €",6,15330,221990,
2015.0002172,"INGENIERIA DE GESTION INDUSTRIAL, S.L.",29/04/2015. VERIFICACION PERIODICA SONOMETROS NEGOCIADO TECNICO ACTIVIDADES.,23/07/2015,"691,97 €",6,17210,21300,
2015.0001272,"COPISTERIA DE CASTELLON, S.L.",30/03/15. FOTOCOPIAS DE PLANOS PARA ACTIVIDADES,11/06/2015,"332,75 €",6,15113,22000,
2015.0001977,SDAD ESPAÑOLA CARBUROS METALICOS SA,01/04/2015.  SUMINISTRO DE MATERIAL PARA USO DEL TALLER DE EMPLEO.,23/07/2015,"731,03 €",5,24120,22199,
2015.0000980,CASMAR 2000 S.A.,02/03/2015. MATERIAL SUMINISTRADO PARA CURSO DE LIMPIEZA EN ESPACIOS ABIERTOS E INDUSTRIALES.,20/04/2015,"4.866,11 €",5,24180,22199,
2015.0000971,PLACIDO GOMEZ SL,"05/03/2015. SUMINISTRO DE MATERIAL DE PAPELERIA Y MANUALES DIDACTICOS PARA EL CURSO DE ""ACTIVIDADES AUX. EN VIVEROS, JARDINES Y CENTROS DE JARDINERIA. PROYECTO FP PARA EL EMPLEO.",20/04/2015,"1.064,05 €",5,24180,22199,
2015.0000972,PLACIDO GOMEZ SL,"05/03/2015. SUMINISTRO DE MATERIAL DE PAPELERIA Y MANUALES DIDACTICOS PARA EL CURSO DE ""LIMPIEZA EN ESPACIOS ABIERTOS E INST. INDUSTRIALES"". PROYECTO FP PARA EL EMPLEO.",20/04/2015,"851,25 €",5,24180,22199,
2015.0001152,COOP AGRICOLA SAN ISIDRO CS,07/03/2015. SUMINISTROS PARA CURSO ACTIVIDADES AUXILIARES EN VIVEROS. PROYECTO FORMACION PROFESIONAL PARA EL EMPLEO.,13/05/2015,"3.016,95 €",5,24180,22199,
2015.0005519,DISMELCAS SL,"08/10/15. MATERIAL ELECTRICO DESTINADO A REALIZACION PRIMERAS PRACTICAS MODULO ELECTRICIDAD E INSTALACION ELECTRICA TRES VIVIENDAS SOCIALES OBJETO DE REHABILITACION, FUNCIONAMIENTO TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD VI.",18/12/2015,"4.994,38 €",5,24120,22199,
2015.0005611,PLACIDO GOMEZ SL,10/11/15 MATERIAL DE PAPELERIA Y OFICINA NECESARIO PARA LA PUESTA EN FUNCIONAMIENTO DEL TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD VI,18/12/2015,"1.602,61 €",5,24120,22000,
2015.0005612,"COMERCIAL CASTILLO 88, S.A.",10/11/15. MATERIAL DE FERRETERIA PARA SU USO POR LA ESCUELA TALLER.,18/12/2015,"3.375,46 €",5,24120,22199,
2015.0001323,PLACIDO GOMEZ SL,"11/02/2015.KIT DE TEST PSICOTECNICOS AUTOCORREGIBLES PARA EL CURSO DE ""ACTIVIDADES AUX. EN VIVEROS, JARDINES Y CENTROS DE JARDINERIA.",18/05/2015,"73,00 €",5,24180,22199,
2015.0005989,RICARDO PERIS MATERIALES SL,11/11/15. SUMINISTRO MATERIAL PARA USO ESCUELA TALLER,29/12/2015,"4.055,82 €",5,24120,22199,
2015.0006320,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"11/11/2015. MATERIALES REVESTIMIENTO (AZULEJOS, RODAPIES, ETC.) PARA EL MODULO DE REVESTIMIENTO CON PIEZAS RIGIDAS POR ADHERENCIA EN CONSTRUCCION DEL T.E. CIUDAD SOLIDARIDAD VI",29/12/2015,"5.530,85 €",5,24120,22199,
2015.0006457,INDUSTRIAL AUTO PITARCH SL,"11/12/15. MAQUINARIA CORTAR PORCELANICO Y GRES,BATIDORAS PARA PREPARACIÓN MASAS HORMIGON, ELEVADORES, ETC. PARA MODULO DE ALBAÑILERIA DEL TALLER EMPLEO CIUDAD SOLIDARIDAD VI (APORTACION MUNICIPAL)",29/12/2015,"5.366,08 €",5,24120,62300,
2015.0005613,SUMINISTROS TAYMON CASTELLON SL,12/11/15. MATERIAL DE FONTANERIA PARA SU USO POR EL TALLER DE EMPLEO.,18/12/2015,"5.079,56 €",5,24120,22199,
2014.0006309,GRABADOS MOLINA 99 SL,14/11/14. PLACAS TALLER DE EMPLEO PARA NEGOCIADO CIUDAD DE LA SOLIDARIDAD.,26/03/2015,"145,20 €",5,24120,22199,
2015.0006583,MADERAS FARNOS SL,14/12/15. MATERIAL DE CARPINTERIA PARA SU USO POR TALLER DE EMPLEO.,29/12/2015,"5.863,96 €",5,24160,22199,
2015.0006584,SUMINISTROS TAYMON CASTELLON SL,14/12/15. MATERIAL PARA SU USO POR EL TALLER DE EMPLEO.,29/12/2015,"6.043,38 €",5,24120,62300,
2015.0001555,LA HISPANO DEL CID SA,15/04/2015. SERVICIO ENTRE CASTELLON  - JARDIN BOTANICO VALENCIA (CURSO AUX. VIVEROS Y JARDINERIA).,15/05/2015,"240,00 €",5,24180,22699,
2015.0000308,CASMAR 2000 S.A.,16/01/15. CURSO DE LIMPIEZA EN ESPACIOS ABIERTOS E INSTALACIONES INDUSTRIALES,15/04/2015,"1.136,98 €",5,24160,22199,
2015.0000465,MARKEL INTL. INSRC. SUCURSAL ESP,16/01/15. POLIZA PARA ALUMNOS DEL CURSO DE JARDINERIA,17/04/2015,"295,30 €",5,24180,22400,
2015.0000785,MARKEL INTL. INSRC. SUCURSAL ESP,16/04/15 POLIZA  DE ACCIDENTES PERSONALES DE ALUMNOS DEL CURSO DE JARDINERIA,27/04/2015,"127,38 €",5,24180,22400,
2015.0005990,ELECTRODOMESTICOS MAGBOUHER SLU,"23/11/15. ENCIMERAS ENCASTRABLES, HORNO ELECTRICO Y EXTRACTOR DE HUMOS PARA COMPLETAR EL ACONDICIONAMIENTO DE LAS VIVIENDAS OBJETO DE REHABILITACION POR PARTE DE LOS ALUMNOS DEL TALLER DE EMPLEO DE LA CIUDAD DE LA SOLIDARIDAD VI",29/12/2015,"951,06 €",5,24120,22199,
2015.0005992,DISMELCAS SL,24/11/15. SUMINISTRO MATERIAL TALLER DE EMPLEO VI,29/12/2015,"4.549,75 €",5,24120,22199,
2015.0005991,"COMERCIAL DE FUSTERIA BENAGES,S.L.",24/11/15. SUMINISTRO MATERIAL USO TALLER DE EMPLEO VI,29/12/2015,"447,34 €",5,24120,22199,
2014.0007182,JUAN GOZALBO SL,25/11/14. MATERIAL PARA SU USO POR TALLER DE EMPLEO,26/03/2015,"18,13 €",5,24120,22199,
2015.0001153,COOP AGRICOLA SAN ISIDRO CS,26/03/2015. SUMINISTROS PARA CURSO ACTIVIDADES AUXILIARES EN VIVEROS. PROYECTO FORMACION PROFESIONAL PARA EL EMPLEO.,13/05/2015,"3.791,87 €",5,24180,22199,
2015.0006400,MARMOLES CUEVAS 1981 CB,26/11/15 GRANITO PARA ENCIMERA CON ENCASTRES Y ZOCALO PARA EL MODULO DE REVESTIMIENTO CON PIEZAS RIGIDAS POR ADHERENCIA EN CONTRUCCION DEL TALLER DE EMPLEO CIUDAD SOLIDARIDAD VI,29/12/2015,"1.185,80 €",5,24120,22199,
2015.0005610,PLACIDO GOMEZ SL,27/10/15. MATERIAL DIDACTICO DE CONSULTA (CODIGOS Y NORMAS) PARA EL TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD VI,18/12/2015,"190,27 €",5,24120,22000,
2015.0000597,"DE SEGUROS Y PREASEGUROS, VIDACAIXA, S.A.",29/01/2015. POLIZA ALUMNOS CURSO DE LIMPIEZA. AGENCIA DE DESARROLLO LOCAL.,16/04/2015,"100,92 €",5,24180,22400,
2015.0006432,"SUMINISTROS INDUSTRIALES TODOMADERA, S.L.","3/12/15. RECAMBIOS Y UTILLAJE (CUCHILLAS, CUBETAS, FRESAS, TORNILLOS, PERNIOS, BROCAS...) PARA LOS TALLERES DE LA CIUDAD DE LA SOLIDARIDAD POR DESGASTE Y DETERIORO DE LOS MISMOS O POR NO QUEDAR EXISTENCIAS",29/12/2015,"5.440,60 €",5,24160,22199,
2015.0006408,"ALECAS SERVICIOS Y GESTION, S.L.","30/11/15 MATERIALES DIVERSOS (CABLE, INTERRUPTORES, LUCES DE EMERGENCIA...) PARA EL MODULO DE INSTALACIONES ELECTRICAS DE BAJA TENSION DEL TE CIUDAD DE LA SOLIDARIDAD VI",29/12/2015,"5.659,84 €",5,24120,22199,
2015.0006579,SUMINISTROS INDUSTRIALES Y RECAMBIOS SL,30/11/15. EQUIPAMIENTO BASICO TALLER EBANISTERIA,29/12/2015,"2.876,57 €",5,24160,62300,
2015.0006406,"SUMINISTROS SEQUIOL, S.L.L.","30/11/15. MATERIALES SANITARIOS (LAVABOS, FREGADEROS, TERMOS, GRIFOS...) PARA EL MODULO DE FONTANERIA DEL TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD V",29/12/2015,"4.474,77 €",5,24120,22199,
2015.0006443,"MATERIALES DE CONSTRUCCION FADRELL, S.L.L",30/11/15. PIEDRA NATURAL Y MONOCAPA PARA EL MODULO DE REVESTIMIENTO CON PIEZAS RIGIDAS POR ADHERENCIA EN CONSTRUCCION DEL TE CIUDAD DE LA SOLIDARIDAD VI,29/12/2015,"1.663,21 €",5,24120,22199,
2015.0005620,CASMAR 2000 S.A.,30/9/15. MATERIAL PARA SU USO POR EL TALLER DE EMPLEO.,18/12/2015,"1.300,33 €",5,24120,22699,
2015.0006425,CASMAR 2000 S.A.,"4/12/15. EQUIPOS DE PROTECCION INDIVIDUAL PARA ALUMNOS Y PERSONAL DOCENTE DEL CURSO ""ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERIA"", PROYECTO PROFESIONAL PARA EL EMPLEO",29/12/2015,"1.606,07 €",5,24180,221991,
2015.0006398,PLACIDO GOMEZ SL,4/12/15. MATERIALES DIDACTICOS PARA REPONER EL MATERIAL AGOTADO Y DETERIORADO DEL TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD,29/12/2015,"599,24 €",5,24120,22000,
2015.0006433,CASMAR 2000 S.A.,"4/12/15.EQUIPOS DE PROTECCION INDIVIDUAL PARA ALUMNOS Y PERSONAL DOCENTE PARA EL CURSO ""LIMPIEZA EN ESPACIOS ABIERTOS E INSTALACIONES INDUSTRIALES"" PROYECTO FORMACION PROFESIONAL PARA EL EMPLEO",29/12/2015,"1.646,24 €",5,24180,221991,
2015.0006571,"MOBI 3, S.L.",ARMARIOS PARA ALMACENAMIENTO SEGURO DE DOCUMENTACION Y EQUIPOS INFORMATICOS Y DE PROTECCION PARA EL TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD VI,29/12/2015,"1.226,94 €",5,24120,62300,
2015.0006565,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,DISPLAYS EXTERIORES ESTATICOS PARA EL TALLER DE EMPLEO CIUDAD DE LA SOLIDARIDAD V,29/12/2015,"3.484,80 €",5,24120,22199,
2015.0003610,FORO SOCIEDAD Y GESTION PUBLICA SL,ENERO - JUNIO 2015. CUOTA SEMESTRAL ASISTENCIA TECNICA ADHESION AL FORO DE CIUDADES POR EL EMPLEO.,23/09/2015,"1.452,00 €",5,24100,22706,
2015.0006580,DISMELCAS SL,EQUIPAMIENTO ELECTRÓNICO PARA SU USO EN EL TALLER DE EMPLEO.,29/12/2015,"5.995,47 €",5,24120,22199,
2015.0006452,SUMINISTROS INDUSTRIALES Y RECAMBIOS SL,MAQUINARIA PARA EQUIPAMIENTO CORPORATIVO PARA REHABILITACIÓN DE VIVIENDAS DE LA CIUDAD DE SOLIDARIDAD (FORMACION PROPIA) DEC.16/12/2015.,28/12/2015,"18.924,40 €",5,24160,62300,
2015.0006211,INDUSTRIAL AUTO PITARCH SL,MAQUINARIA PARA FABRICACIÓN DE MOBILIARIO URBANO PARA EL TALLER CARPINTERIA-EBANISTERIA DE LA CIUDAD DE SOLIDARIDAD DEC 11/12/2015 ,28/12/2015,"14.100,13 €",5,24160,62300,
2015.0005619,CASMAR 2000 S.A.,MATERIAL PARA SU USO EN EL TALLER DE EMPLEO.,18/12/2015,"1.099,41 €",5,24120,22199,
2015.0006585,CASMAR 2000 S.A.,MATERIAL PARA SU USO POR TALLER DE EMPLEO.,29/12/2015,"2.105,19 €",5,24120,22199,
2015.0005621,CASMAR 2000 S.A.,MATERIAL PARA SU USO POR TALLER DE EMPLEO.,18/12/2015,"5.984,26 €",5,24120,22199,
