#Ej.,Económ.,Descripción,Previsiones iniciales,Previsiones modificadas,Previsiones definitivas,Derechos reconocidos
2015.0,10000,INGR.PROCED.CESION I.R.P.F.,3056740.0,,3056740.0,3184876.8
2015.0,10002,IRPF PTE 2009,,,,-48365.79
2015.0,11200,IBI.NATURALEZA RUSTICA,1264728.75,,1264728.75,1193661.29
2015.0,11300,IBI.NATURALEZA URBANA,60184450.05,,60184450.05,60752727.16
2015.0,11400,IBI CARACTERISTICAS ESPECIALES,7570290.3,,7570290.3,7587303.54
2015.0,11500,IMPTO.VEHICC.TRACC.MECANICA,10800000.0,,10800000.0,10647627.15
2015.0,11600,IMPTO.INCREM.VALOR TERRENOS,5000000.0,,5000000.0,6060717.51
2015.0,13000,IMPTO.ACTIV.ECONOMICAS,7300000.0,,7300000.0,7235315.45
2015.0,21000,IMPTO.SOBRE VALOR AÑADIDO,2763220.0,,2763220.0,2906619.12
2015.0,21001,IVA PTE 2008,,,,-22820.38
2015.0,21002,IVA PTE 2009,,,,-47110.03
2015.0,22000,IMPTO.SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS,35000.0,,35000.0,37794.38
2015.0,2200002,LIQ.ALCOHOL PTE 2009,,,,-330.77
2015.0,22001,IMPTO.SOBRE LA CERVEZA,13170.0,,13170.0,13425.14
2015.0,2200102,LIQ.IMPTO.SOBRE LA CERVEZA PTE 2009,,,,-7.59
2015.0,22003,IMPTO.SOBRE LAS LABORES DEL TABACO,334640.0,,334640.0,337390.8
2015.0,2200302,LIQ.IMPTO.SOBRE EL TABACO PTE 2009,,,,-1039.06
2015.0,22004,IMPTO.SOBRE HIDROCARBUROS,465470.0,,465470.0,524477.2
2015.0,2200402,LIQ.IMPTO.SOBRE HIDROCARBUROS PTE 2009,,,,-1887.93
2015.0,22006,IMPTO.SOBRE PRODUCTOS INTERMEDIOS,790.0,,790.0,996.12
2015.0,2200602,LIQ.PRODUC.INTERMED.PTE 2009,,,,-5.39
2015.0,29000,IMPTO.CONSTR.INST.Y OBRAS,750000.0,,750000.0,855898.94
2015.0,30200,TASA BASURAS,11200000.0,,11200000.0,11300485.97
2015.0,32100,LICENCIAS URBANISTICAS,90000.0,,90000.0,282880.83
2015.0,32200,TASA LICENCIA OCUPACION,50000.0,,50000.0,43953.2
2015.0,32300,TASA LIC.APERTURA ESTABLECIMIENTOS,175000.0,,175000.0,198825.37
2015.0,32500,TASA EXPEDICION DOCUMENTOS,30000.0,,30000.0,29944.68
2015.0,32600,TASA RETIRADA VEHICULOS,,,,172.61
2015.0,32900,TASA DERECHOS EXAMEN,100.0,,100.0,15443.88
2015.0,32901,TASA MATRIMONIOS CIVILES,25000.0,,25000.0,29761.5
2015.0,32903,TASA PLANETARIO,30000.0,,30000.0,34074.0
2015.0,32904,TASA SERVICIO SEGURIDAD PÚBLICA,75000.0,,75000.0,108217.04
2015.0,32905,TASAS MERCADOS ORDINARIOS,65000.0,,65000.0,61715.73
2015.0,33100,TASA ENTRADA VEHICULOS (VADOS),1950000.0,,1950000.0,1941131.93
2015.0,33200,"TASA EXPLOT.STROS.VUELO, SUELO Y SUBSUELO",3300000.0,,3300000.0,3450724.74
2015.0,33300,TASA EXPLOT.MOVILES,,,,
2015.0,33500,TASA OVP. MESAS Y SILLAS,550000.0,,550000.0,560751.03
2015.0,33900,TASA.OVP. MERCADOS EXTRAORDINARIOS,95000.0,,95000.0,99631.3
2015.0,33901,"TASA OVP(CABINAS,CAJEROS,PUESTOS,CONTEN.Y OTRAS)",175000.0,,175000.0,251953.63
2015.0,34200,PRECIOS PÚBLICOS ESCOLA DE MATÍ,85000.0,,85000.0,126027.52
2015.0,34401,PRECIOS PÚBLICOS PÉRGOLA MUNICIPAL,5000.0,,5000.0,10126.99
2015.0,34500,PRECIOS PÚBLICOS. BICICAS,,,,979.74
2015.0,34901,"OTROS P.PCOS.CIUDADANIA(JUV.,CULT.,3 EDAD.TEMPS.)",42000.0,,42000.0,68041.44
2015.0,36000,VENTAS.MATERIAL DE DESECHO VEHÍCULOS,35000.0,,35000.0,35184.87
2015.0,36001,"VENTAS.PUBLICACIONES, PLANOS, CD",2000.0,,2000.0,1428.07
2015.0,38001,"EJEC INCAUT- GARANTÍAS URB  ""JARDINES DE CASTALIA, S.A."" UE 49 Y 55 UE-R",,203051.38,203051.38,203051.38
2015.0,38900,REINTEGRO PAGOS PTOS.CERRADOS,10000.0,,10000.0,21826.35
2015.0,38902,DEVOLUCIÓN CÉNTIMO SANITARIO,,,,29798.95
2015.0,39100,MULTAS POR INFRACCIONES URBANÍSTICAS,100000.0,,100000.0,46832.13
2015.0,39110,MULTAS POR INFRACCIONES FISCALES,30000.0,,30000.0,47607.2
2015.0,39120,MULTAS CIRCULACION,900000.0,,900000.0,981419.44
2015.0,39190,MULTAS Y SANCIONES POR ORDENANZA,175000.0,,175000.0,149880.47
2015.0,39192,MULTAS COERCITIVAS. EJECUCIONES SUBSIDIA,100.0,,100.0,20068.24
2015.0,39210,RECARGO EJECUTIVO 5%,,94220.39,94220.39,145206.7
2015.0,39211,RECARGO DE APREMIO 10% Y 20%,1020877.88,211416.53,1232294.41,1449971.48
2015.0,39300,INTERESES DEMORA,400000.0,25467.05,425467.05,498359.45
2015.0,39611,CUOTAS URBANIZACION LA GALERA,100.0,,100.0,
2015.0,39612,CUOTAS URBANIZ.ALCANTARILLADO LOS ANGELE,100.0,,100.0,
2015.0,39613,CUOTAS URB.O6-UE-R (ENTORNO COL.SOLER I GODES),100.0,,100.0,
2015.0,39615,CUOTAS URBANIZACION 55-UE-R,100.0,,100.0,
2015.0,39616,CUOTAS URBANIZACION 15-UE-R,100.0,,100.0,
2015.0,39617,CUOTAS URBANIZACION 81-UE-R,100.0,,100.0,
2015.0,39618,CUOTAS URBANIZACION 36-UE-R,100.0,,100.0,
2015.0,39702,DECLARACION INTERES COMUNITARIO,,,,52105.7
2015.0,39900,RECURSOS EVENTUALES,1000.0,,1000.0,8911.03
2015.0,39901,IMPREVISTOS,20000.0,,20000.0,30616.17
2015.0,39902,REINTEGRO PARTICULARES ANUNCIOS,5000.0,,5000.0,19956.38
2015.0,39903,COMPENSACION SERVICIO EXTINCION INCENDIOS,610223.5,,610223.5,601899.56
2015.0,39904,"RECOGIDA SELECTIVA ENVASES, PAPEL Y VIDRIO",370000.0,,370000.0,459360.8
2015.0,39905,EJECUCIONES SUBSIDIARIAS,60000.0,,60000.0,-10154.37
2015.0,39906,DAÑOS (INDEMNIZACIONES),50000.0,,50000.0,35806.81
2015.0,39907,COSTAS RECAUDACION EJECUTIVA,2000.0,17356.27,19356.27,27457.9
2015.0,420100,FONDO COMPLEMENTARIO FINANCIACION,28617030.0,,28617030.0,31313159.52
2015.0,42011,FONDO COMPLEMENTARIO DE FINANCIAC.2008,,,,-97564.48
2015.0,42012,FONDO COMPLEMENTARIO DE FINANCIAC.2009,,,,-401183.27
2015.0,42020,COMPENSACIÓN POR BENEFICIOS FISCALES,,,,29691.87
2015.0,420901,T.CTES.ESTADO TRANSPORTE URBANO,237027.97,,237027.97,278339.56
2015.0,420902,T.CTES ESTADO JAC,11216.03,,11216.03,10203.57
2015.0,420903,T.CTES.ESTADO DROGODEPENDENCIAS (Mº SANI,34741.0,,34741.0,34284.0
2015.0,420904,OTRAS TRANSFER. CTES ELECCIONES MUNICIPALES,,,,4735.22
2015.0,421000,T.CTES.ESTADO ( SPEE),64399.38,28324.61,92723.99,92562.71
2015.0,421900,T.CTES. ESTADO DEL INE,1500.0,,1500.0,1887.82
2015.0,450020,T.CTES.G.V. ACOGIDA E INTEGRAC INMIGRANTES,,,,50000.0
2015.0,450021,T.CTES.G.V.SERV.SOC.DROGODEPENDENCIAS,80000.0,,80000.0,85000.0
2015.0,450022,T.CTES.G.V.SERV.SOC.SERV.ATENCION DEPEN,112740.0,20788.0,133528.0,135288.0
2015.0,450023,T.CTES.G.V.SERV.SOC.AGOGIMIENTO FAMILIAR,41062.5,24232.5,65295.0,64561.5
2015.0,450024,T.CTES.G.V.SERV.SOC.SEAFI,53496.0,,53496.0,53496.0
2015.0,450025,T.CTES.G.V.SERV.SOCIALES GRALES.,693670.0,,693670.0,693670.0
2015.0,450026,T.CTES.G.V.SERV.SOC.INTEGRACION PUEBLO G,6330.0,6330.0,12660.0,12660.0
2015.0,450027,T.CTES.G.V.SERV.SOC.AULAS TERCERA EDAD,8394.0,,8394.0,8394.0
2015.0,450028,T.CTES.G.V.FINAN.GTS CORRIENTES AMICS,13684.93,,13684.93,14717.7
2015.0,450029,T.CTES.G.V.NECES.MENOR VERANO ( T.ESPLAI,38700.0,,38700.0,49959.75
2015.0,450301,T.CTES.V.ESCUELA INF.LOS DUENDES,22480.0,,22480.0,22423.83
2015.0,450302,T.CTES.G.V.PROMOCION USO VALENCIANO,1761.11,,1761.11,1798.5
2015.0,450303,"APORT. G.V. PROG.""XARXA LLIBRES"" 2015-16",,593852.08,593852.08,593852.08
2015.0,450501,T.CTES.G.V.EMPLEO SERVEF (SALARIO JOVEN),15537.63,51442.75,66980.38,80165.3
2015.0,450502,T.CTES.G.V.- ESCUELA TALLER CIUDAD SOLID.,,,,-11747.75
2015.0,450503,"TRANSF.CTES.GEN.VAL.-PROGRAMA FORMAC.DESEMPL.""ACTIV.VIVEROS,JARDINES""Y""LIMPIEZA INST.INDUSTR""",,32148.46,32148.46,38982.99
2015.0,4505031,"TRANSF.CTES.GEN.VAL.-CURSOS ""ACTIV.VIVEROS"" Y ""LIMPIEZA INST.INDUSTR"" 2015-16",,6423.56,6423.56,
2015.0,450504,T.CTES.GV TALLER EMPLEO CIUDAD DE LA SOLIDARIDAD V,,,,-9401.24
2015.0,450505,T.CTES.G.V.TALLER EMPLEO CIUDAD DE LA SOLIDARIDAD VI,,177018.46,177018.46,206042.4
2015.0,450601,T.CTES.G.V.COMERCIO Y ARTESANIA (AFIC),14560.0,,14560.0,7000.0
2015.0,450602,T.CTES.G.V.FONDOS BIBLIOGRAFICOS,10826.98,,10826.98,8558.56
2015.0,450603,T.CTES.G.V.COMPENSACION FINANCIERA 2013 (AVT),,,,1620.77
2015.0,450604,T.CTES.G.V.SERV.MANT.CENTRO ASISTENC. AMBULAT,,,,16495.0
2015.0,450801,"T. CTES.G.V.OMIC,JAC,CENTRO REC.CONSUMO",21600.0,,21600.0,19203.5
2015.0,450802,T.CTES.G.V.ACTIV.MUSICALES,2000.0,,2000.0,
2015.0,450803,T.CTES.G.V.TRANSPARENCIA Y DATOS ABIERTOS,,,,1328.03
2015.0,453010,T.CTES.EPSAR COMPENS.COSTES BOMBEOS,300000.0,,300000.0,297348.75
2015.0,453020,T.CTES.EPSAR ( EXPL.EDAR BOMBEOS Y COL.G,3157500.0,,3157500.0,
2015.0,461000,DIP. CONVENIO SEGURIDAD,134792.92,,134792.92,133445.0
2015.0,461001,TRANSF.DIPUTACION ACTIVIDADES CULTURALES,5000.0,,5000.0,4207.65
2015.0,461002,T.CTES.DIP.FOMENTO SECTOR PESQUERO,5600.0,,5600.0,4393.8
2015.0,461003,TRANSF.DIPUTACION-ARTS ESCENIQUES-JAZZ-FECSTIVAL 2015,,,,27780.0
2015.0,461004,T.CTES.DIP.BECAS PRÁCT.FORMAC.ESTUD.,,,,3200.0
2015.0,461006,T.CTES.DIP.BECA DISCAPACIDAD,,,,1000.0
2015.0,461007,T.CTES.DIP. EQUIPAMIENTO LOCALES 3ª EDAD,,,,-318.0
2015.0,461008,T.CTES.DIP.CAMPAÑAS CONTROL MOSCAS Y MOSQUITOS,,,,5828.67
2015.0,461009,T.CTES. DIP. BECAS VIOLENCIA GÉNERO,,2000.0,2000.0,2000.0
2015.0,461010,"APORT.DIPUT.Y G.V. AL""PLAN EMPLEO CONJUNTO 2014""",,,,-4294.53
2015.0,461011,"APORT.DIPUT.Y G.V. AL""PLAN EMPLEO CONJUNTO 2015""",,189249.36,189249.36,189249.36
2015.0,461012,"APORT.DIPUTACIÓN PROV.PROG.""XARXA LLIBRES""2015-16",,593852.08,593852.08,593852.08
2015.0,46600,T.CTES.FVMP ATENCION PERSONAS DEPENDIENTES,,,,33822.0
2015.0,470000,T.CTES.EMPRESAS PRIVADAS,3000.0,,3000.0,741.6
2015.0,470001,"T.CTES. CONVENIO ""BANKIA S.A."" 2014",,15000.0,15000.0,20000.0
2015.0,480000,T.CTES.FAMILIAS E INST.SIN FINES LUCRO,20000.0,,20000.0,600.0
2015.0,480002,T.CTES.FEMP NUTRICION Y HABITOS HIGIENICOS,,,,2691.14
2015.0,49700,SUBV. ASOCIACION CLIMATE KIC (E.I.T.),,,,54251.15
2015.0,49701,SUBV.HORIZONTE 2020- BIRMINGHAM CITY COUNCIL,,,,52284.15
2015.0,49703,T.CTES.FEDER CERURBIS,,,,92.37
2015.0,52000,INTERESES DEPOSITOS,50000.0,,50000.0,29215.44
2015.0,53410,DIVIDENDO PARTICIPACION Bº EMPRESARIAL,15000.0,,15000.0,
2015.0,54100,ARRENDAMIENTOS FINCAS URBANAS,5000.0,,5000.0,7383.3
2015.0,54900,TRASPASO LOCALES DE NEGOCIO,25000.0,,25000.0,17179.73
2015.0,55000,CONCESIONES ADVAS,900000.0,,900000.0,1477717.06
2015.0,60000,ENAJENACION BIENES PATRIMONIALES,537077.08,,537077.08,
